;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
29;RFR;1850;185;1498;167;lai;2;0,9468291663211488;2,6469491961459344;0,43086815420485625;0,4333696113838058;0,2687914159148228;0,9467354080078376;14,691905799250774;Not saved
30;GPR;1850;185;1498;167;lai;2;0,9999946951876988;0,02562360319821977;0,004976118791048484;4,3505520151725136e-05;0,0036504699335551116;0,9999946528235496;0,16958944866151007;Not saved
31;MTN;1850;185;1498;167;lai;2;0,9973139819734429;0,7854672390834772;0,12444914385280235;0,030043022866120137;0,09288979614775927;0,9963074721596991;2,919532297503874;Not saved
32;ANN;1850;185;1498;167;cab;3;0,9970209433976294;5,552064038363433;1,8166487585438056;4,857120374372796;1,5991828721457466;0,9961841197769747;3,5748831211127534;Not saved
33;RFR;1850;185;1498;167;cab;3;0,9981590614185805;9,430558918569332;0,7840590000680195;2,343410270655934;0,44678491729315795;0,9981589558798232;1,216257276472289;Not saved
34;GPR;1850;185;1498;167;cab;3;0,9999990401991957;0,22980161714164815;0,022724177208718638;0,0012217027848389545;0,014508705570634106;0,9999990401984847;0,05052850426589932;Not saved
35;MTN;1850;185;1498;167;cab;3;0,999669028614619;2,3303094477428203;0,5886838445233337;0,5395423060089436;0,5356408078660877;0,9995761215172168;0,9939089606390623;Not saved
36;ANN;1850;185;1498;167;cw;3;0,9958964288964994;0,0009281517076328693;0,00011215902516064418;2,7161491638748457e-08;8,357689774813985e-05;0,9953330826412325;2,0913966500123125;Not saved
37;RFR;1850;185;1498;167;cw;3;-0,02228910781166782;0,005025050388326527;0,0020810366808031765;5,951435545169028e-06;0,002051861329411698;-0,02258219926740601;45,65777921738365;Not saved
38;GPR;1850;185;1498;167;cw;3;0,9999939433115717;4,883964462274251e-05;3,6188244101039434e-06;3,5412367822286036e-11;2,3806324441818377e-06;0,9999939154080232;0,07128845405992651;Not saved
39;MTN;1850;185;1498;167;cw;3;0,9961501842921853;0,0006588467466667591;0,00012072959143398316;2,741047417614878e-08;8,05339875641839e-05;0,9952903021878879;2,1866407675551707;Not saved
40;ANN;1850;185;1498;167;cm;3;0,9953933835595288;0,0005988007463559354;0,0001340757345747308;3,2327047859566944e-08;9,981439815643766e-05;0,9933848985056527;2,5549441875476924;Not saved
41;RFR;1850;185;1498;167;cm;3;0,140956444902687;0,00430578298740155;0,00176393573617328;4,2031795128522e-06;0,001658628119808752;0,13990107611234215;38,729465379333995;Not saved
42;GPR;1850;185;1498;167;cm;3;0,9999949480205576;2,0870224163700712e-05;3,5451413774921264e-06;2,4782223236855327e-11;2,429933498241787e-06;0,9999949288000971;0,07351339696130268;Not saved
43;MTN;1850;185;1498;167;cm;3;0,9946158676187838;0,0008590802552893538;0,0001602581748208936;4,256846451146491e-08;0,000137910437014087;0,9912891918116017;3,1897469004452743;Not saved
44;ANN;1850;185;1498;167;lai;3;0,9921646553444743;0,8883538619415949;0,20164417077329558;0,07019061280008057;0,16002104199036005;0,989924328080925;4,203959495570792;Not saved
45;RFR;1850;185;1498;167;lai;3;0,9503640299692572;2,8834900423396217;0,40753710530411424;0,3506576177294343;0,2710829000647643;0,9496640509147666;14,889418643673277;Not saved
46;GPR;1850;185;1498;167;lai;3;0,9999944912510905;0,022510086243631378;0,004621242102662708;3,840196776404628e-05;0,003308694028514303;0,9999944875017783;0,1478591089061247;Not saved
47;MTN;1850;185;1498;167;lai;3;0,9938926100603076;0,8388841332674986;0,1700705208290369;0,05319726612196348;0,1130536223985592;0,9923636768642656;3,5196532381899246;Not saved
48;ANN;1850;185;1498;167;cab;4;0,9980881724171647;5,715801241645863;1,7394878125864064;4,4861174692221155;1,6602660732029904;0,9965822352432031;2,9294362618340424;Not saved
49;RFR;1850;185;1498;167;cab;4;0,9983403466756078;8,970539539776226;0,8285752702621092;2,178917545668439;0,5022741255983902;0,9983399838174895;1,3280036394277048;Not saved
50;GPR;1850;185;1498;167;cab;4;0,9999988632561916;0,33218855107193335;0,021194025921028967;0,0015293172040779387;0,012545711407142335;0,9999988348841782;0,05835147298278231;Not saved
51;MTN;1850;185;1498;167;cab;4;0,9991477450856499;6,346781904195268;0,8755518905617319;1,5711116625761636;0,5907429378866382;0,9988030429193651;1,4764989798292316;Not saved
52;ANN;1850;185;1498;167;cw;4;0,9948210320194109;0,0005069733980288468;0,00011498923673230065;2,5374559711088486e-08;8,049044746067519e-05;0,9946968726290758;2,294159321517903;Not saved
53;RFR;1850;185;1498;167;cw;4;0,04255200206236309;0,004761970532684569;0,0017587773626067428;4,582673564502202e-06;0,00157640226773319;0,04224932812124749;38,02623498886658;Not saved
54;GPR;1850;185;1498;167;cw;4;0,9999952546921478;1,937093351843562e-05;3,2972865800469085e-06;2,2867756380582172e-11;2,0033123876569622e-06;0,9999952207791523;0,06462765650500452;Not saved
55;MTN;1850;185;1498;167;cw;4;0,9960215690102047;0,0008583618329135387;9,544021712578898e-05;2,0032095972372708e-08;6,736309184957393e-05;0,9958134147879757;1,8258484285664696;Not saved
56;ANN;1850;185;1498;167;cm;4;0,9933301603986096;0,000842923314527907;0,00013317664418749424;3,350778603162072e-08;9,590717667053942e-05;0,9933155304074454;2,984357789100629;Not saved
57;RFR;1850;185;1498;167;cm;4;0,10791205653461133;0,004561498491379622;0,0017589936042785635;4,477269239443398e-06;0,0015845864951539099;0,10682937808851267;38,892173629840514;Not saved
58;GPR;1850;185;1498;167;cm;4;0,9999882757895384;7,369960046619758e-05;4,039583168064224e-06;5,955280129248777e-11;2,3910737118994566e-06;0,9999881198092582;0,09372127975489251;Not saved
59;MTN;1850;185;1498;167;cm;4;0,993547510612789;0,001204154979664162;0,0001282075407172268;3,3106752693830806e-08;0,0001006961572240046;0,9933955325642434;2,752415624821158;Not saved
60;ANN;1850;185;1498;167;lai;4;0,9879148666744169;0,9584387474674649;0,2505949259740283;0,09773389532721227;0,22065873744745623;0,9871409531502497;6,03908203891377;Not saved
61;RFR;1850;185;1498;167;lai;4;0,9477006928287366;2,7793369604699314;0,43591750065386303;0,40242995352816036;0,28074014597099506;0,9470514747331411;13,812353094229879;Not saved
62;GPR;1850;185;1498;167;lai;4;0,9999931216194619;0,03940814952086469;0,004789571070465192;5,2472357674126755e-05;0,0033476550755855428;0,9999930961054669;0,16016001938081845;Not saved
63;MTN;1850;185;1498;167;lai;4;0,997576829042208;0,613268726410336;0,0918070002314271;0,01889269142820329;0,06437035706000849;0,9975142502672203;2,1049701471845976;Not saved
64;ANN;1850;185;1498;167;cab;5;0,9989422706541646;5,369799719600621;0,8884656307981132;1,5272066999122482;0,5928094699167197;0,9989107979386325;1,6973130827134764;Not saved
65;RFR;1850;185;1498;167;cab;5;0,9988845396308349;7,453655396248607;0,8059709137817533;1,5649119208917763;0,6152662145678534;0,9988839066184086;1,3756265174504547;Not saved
66;GPR;1850;185;1498;167;cab;5;0,999998925713818;0,2424276242651473;0,0216529076528282;0,0015082350299355303;0,012539724560681975;0,9999989243285118;0,04950525806492976;Not saved
67;MTN;1850;185;1498;167;cab;5;0,9994773429977876;3,93241416051859;0,6131750145562236;0,7386625750382971;0,4709758748785191;0,9994731867012939;1,1398536410286262;Not saved
68;ANN;1850;185;1498;167;cw;5;0,9931382213852679;0,0008321123505726112;0,00012822148076532507;3,425470684675451e-08;8,620562802295634e-05;0,9930958044031132;2,7866788508785123;Not saved
69;RFR;1850;185;1498;167;cw;5;0,05782116792512082;0,0050655881767747366;0,0018504370631035269;4,697669737964805e-06;0,0018332382202201469;0,0531627999158264;40,25933342194675;Not saved
70;GPR;1850;185;1498;167;cw;5;0,9999945822793527;3,236852054592024e-05;3,1034833707317073e-06;2,6882333971548e-11;1,7426977431053703e-06;0,9999945817404694;0,05752344101444784;Not saved
71;MTN;1850;185;1498;167;cw;5;0,9954958747747032;0,0009779756265476001;9,356306805869399e-05;2,238492568410902e-08;5,950790971889948e-05;0,9954882140420505;2,0216883210398677;Not saved
72;ANN;1850;185;1498;167;cm;5;0,9906456550042877;0,0009656428935894208;0,00017322506319700944;4,79186839374177e-08;0,00015311948625366598;0,9899707584417868;3,4279218532827436;Not saved
73;RFR;1850;185;1498;167;cm;5;0,2018468073358266;0,004961706541813523;0,0016328970957888488;3,882210092270031e-06;0,0015699475712433516;0,18746468817967799;32,9305997340708;Not saved
74;GPR;1850;185;1498;167;cm;5;0,9999905065422711;3,8989738627385074e-05;3,802853289561881e-06;4,536256060736964e-11;2,2098053169827825e-06;0,9999905057476406;0,07589824913475482;Not saved
75;MTN;1850;185;1498;167;cm;5;0,9966399424244027;0,0005459174624600845;0,00011177085217166325;2,097698051255634e-08;9,260943789623707e-05;0,9956095788232181;2,199747650112453;Not saved
76;ANN;1850;185;1498;167;lai;5;0,9857871056214011;2,041574454684934;0,2914978864310517;0,15374642583265655;0,2241740234932199;0,9822564464606196;6,988781046550213;Not saved
77;RFR;1850;185;1498;167;lai;5;0,9417402880558519;3,597509874444806;0,47493372243480175;0,5050490576188144;0,3097231010570449;0,9417133442592875;14,677890152820705;Not saved
78;GPR;1850;185;1498;167;lai;5;0,9999908846059581;0,060082902925099546;0,005081501027339286;7,91764629138427e-05;0,003011044919055905;0,9999908624099639;0,15195126751849716;Not saved
79;MTN;1850;185;1498;167;lai;5;0,9956175402967349;0,9066215008192007;0,19724119077904645;0,07247499263101886;0,14969875396784182;0,9916358126372683;3,465908351448398;Not saved
80;ANN;1850;185;1499;166;cab;6;0,99751577165019;10,764351800173415;1,2804380035914054;3,6903477157480795;0,9038165974424572;0,9971116125426823;3,0057322804394637;Not saved
81;RFR;1850;185;1499;166;cab;6;0,9946378488098953;19,140036152533256;1,1563996424825886;6,886553180593815;0,5455585675732273;0,9946099838380823;1,8636437803174895;Not saved
82;GPR;1850;185;1499;166;cab;6;0,9999957384848414;0,6806470417568384;0,03118537767908321;0,0054455112549828336;0,016830936908036165;0,999995737868727;0,09750148708038513;Not saved
83;MTN;1850;185;1499;166;cab;6;0,9986808341382707;7,501389458864821;0,7766297530232773;1,6871069927433868;0,5029933213217959;0,9986795231635768;1,7799591050261305;Not saved
84;ANN;1850;185;1499;166;cw;6;0,9915107840521165;0,0014519484922501961;0,00014155733215141886;4,772538321869761e-08;9,795077325112922e-05;0,9911934717530126;3,1370384356812804;Not saved
85;RFR;1850;185;1499;166;cw;6;0,0026506209643006873;0,005143234252479832;0,001986623278261353;5,407190076516032e-06;0,0018810423653675308;0,0022380348951818174;42,54936706539929;Not saved
86;GPR;1850;185;1499;166;cw;6;0,9998991871577393;0,00028206281400158534;5,822707726537372e-06;5,488009103112375e-10;2,473174151105227e-06;0,9998987324900781;0,16440972000056997;Not saved
87;MTN;1850;185;1499;166;cw;6;0,9954451493345243;0,0014659995887640635;0,00010061803487117843;2,7425549865582594e-08;7,862737192081593e-05;0,9949392993142947;2,2814546985301525;Not saved
88;ANN;1850;185;1499;166;cm;6;0,995099527775457;0,0008032307625663038;0,00013403366119092494;2,9354347173215367e-08;0,00011465259055034151;0,9942750196074137;2,8826693725061987;Not saved
89;RFR;1850;185;1499;166;cm;6;0,2429326297885953;0,004162283059056161;0,0016783213261686138;3,882252838712051e-06;0,001547027097819742;0,24284395597225616;36,488176080979045;Not saved
90;GPR;1850;185;1499;166;cm;6;0,9999761668705177;9,121633636222266e-05;4,915809036119858e-06;1,2260534923915523e-10;2,76611189666421e-06;0,9999760882701196;0,09926315106986204;Not saved
91;MTN;1850;185;1499;166;cm;6;0,9945316812042545;0,0009918102262934667;9,764227734447041e-05;2,89593373765626e-08;5,920357710610625e-05;0,9943520583958212;2,2700090614393273;Not saved
92;ANN;1850;185;1499;166;lai;6;0,9897146631499099;0,9675238357902991;0,3297286797565948;0,16889805152200865;0,28088383593542066;0,9795533432020194;9,325170365833298;Not saved
93;RFR;1850;185;1499;166;lai;6;0,954866383062877;2,523094152600299;0,39851047773022824;0,37767349132854205;0,2137668153851935;0,9542791631442619;14,583031748365954;Not saved
