;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
30;GPR;50;5;40;5;lai;2;0,9898259108596131;0,31208413842393234;0,10702893207044176;0,025666684391706863;0,025665164330605172;0,9893910288281257;2,1848775558201017;Not saved
31;MTN;50;5;40;5;lai;2;-0,1784793873119339;3,2214215403393123;1,5450454262709257;3,892053235676903;0,9356753574436922;-0,6087267037123747;25,05829655086189;Not saved
32;ANN;50;5;40;5;cab;3;0,6728466963238382;30,052298002728975;10,540168856409606;212,71278494933;5,767652985582416;0,6277534677321317;15,619056850497264;Not saved
33;RFR;50;5;40;5;cab;3;0,9321672652861442;14,613188908917024;4,3993607903289975;45,711975499251594;1,9533364756665605;0,9200042236917563;6,521686530556536;Not saved
34;GPR;50;5;40;5;cab;3;0,9993617149486793;1,4577609361913204;0,5732114337649363;0,6264407228439526;0,30525586533855176;0,9989037312129331;1,3378337216801952;Not saved
35;MTN;50;5;40;5;cab;3;-0,04734088402070391;40,427878683780975;19,49685258748871;606,6314295212242;18,29234170628554;-0,06160260210859869;51,75844085010751;Not saved
36;ANN;50;5;40;5;cw;3;0,6026066805905695;0,0030398480388690655;0,0016656446425818042;4,080177504764932e-06;0,002219698755158938;0,2184010801362224;54,23612013709065;Not saved
37;RFR;50;5;40;5;cw;3;0,06420665490792399;0,0034284430753430614;0,0023675812909812904;6,462316719030788e-06;0,0027792889196673496;-0,23792157608669817;65,28426986895101;Not saved
38;GPR;50;5;40;5;cw;3;0,9935627227232456;0,0004309819340184498;0,0001080354716057835;3,799147456321905e-08;3,746490765619854e-05;0,9927223520427808;2,1449305251302353;Not saved
39;MTN;50;5;40;5;cw;3;0,004816176723784205;0,0039591988973374966;0,0026148509366201067;7,97904976735958e-06;0,0027857608069618116;-0,528467002336181;77,34564285035275;Not saved
40;ANN;50;5;40;5;cm;3;0,07577157465680406;0,0032722234885353245;0,0018430014600354556;4,741363231273904e-06;0,0011709760728696172;-1,1068230612057572;22,347279112677775;Not saved
41;RFR;50;5;40;5;cm;3;0,6627514293990995;0,0022937958106253797;0,0016033763715295746;3,329786962909011e-06;0,0021146642550688684;-0,4795896496784804;19,011930437574943;Not saved
42;GPR;50;5;40;5;cm;3;0,9693450008382309;0,0006456322700217664;0,00017913091784120815;8,705907250848675e-08;8,362713355020233e-05;0,9613153321731936;3,089430782930506;Not saved
43;MTN;50;5;40;5;cm;3;-0,02692888188178877;0,0038671327914256252;0,0023820897092419985;6,886677228425628e-06;0,0021947940781834874;-2,0600925708932443;28,505403304276143;Not saved
44;ANN;50;5;40;5;lai;3;0,6704190386598586;2,9971498207465626;1,6823751599001628;3,9617686903695835;1,157916643422796;0,47249873006104437;27,45811529110826;Not saved
45;RFR;50;5;40;5;lai;3;-0,024897735226007356;5,461492332740057;1,9950135161879181;7,744994742514902;0,9090541705471544;-0,031229958548140146;60,72612672775385;Not saved
46;GPR;50;5;40;5;lai;3;0,9901338810719057;0,49141957092277533;0,33825694558869374;0,12974316924468865;0,2559165981907894;0,9827249665764577;7,934500645461289;Not saved
47;MTN;50;5;40;5;lai;3;0,7136125803503199;2,6521314339057422;1,3495759330029955;2,920197317645411;0,9065881751000422;0,6111817943145528;21,344459093249313;Not saved
48;ANN;50;5;40;5;cab;4;0,6518874510322369;41,706808946735464;18,95342404943367;501,6950008636315;15,835119247711631;0,6172589912392649;60,33681559310169;Not saved
49;RFR;50;5;40;5;cab;4;0,9930022683660849;5,802462492511808;3,0281479259496784;11,949852939331794;2,80361697936754;0,9908835073886146;14,746151890373465;Not saved
50;GPR;50;5;40;5;cab;4;0,9970776156481732;4,174679159556252;1,8428884276056707;4,998781805424016;1,5001646630558518;0,9961864503583068;9,708244177098283;Not saved
51;MTN;50;5;40;5;cab;4;0,9054224822159451;26,45258226216515;8,301073821362744;155,17562013756475;4,135335922516319;0,8816171712209908;17,486478613821504;Not saved
