;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
30;GPR;50;5;40;5;lai;2;0,9636362063939962;1,1541403698562593;0,49590773311004954;0,5150607993046856;0,1526614264582209;0,9330346581661595;12,123267881798835;Not saved
31;MTN;50;5;40;5;lai;2;0,7631947063829103;2,3414915888755345;1,0246335127259538;1,8236490357708657;0,5467188603042632;0,7628992902775573;23,449769918347165;Not saved
32;ANN;50;5;40;5;cab;3;0,8057129355701915;25,781209574763125;12,553872482301642;231,74113929111877;13,570003536564101;0,7661483695266388;15,442830509126734;Not saved
33;RFR;50;5;40;5;cab;3;0,9786877678552319;7,212802093854684;5,838270139527851;35,01459544968212;5,508390092256775;0,9646665229086189;11,362071398056598;Not saved
34;GPR;50;5;40;5;cab;3;0,9983062296308776;2,52758489981073;1,1734651728174519;2,0486618411603463;1,2327678320754245;0,9979326807777446;2,7128443167701173;Not saved
35;MTN;50;5;40;5;cab;3;0,04420654758497233;49,27183304888422;27,063359562921427;1053,5342682672285;32,10149868574473;-0,06312891680554888;45,914824749707925;Not saved
36;ANN;50;5;40;5;cw;3;0,3876945900110986;0,0031895987251644147;0,0015142184114959266;3,74060975456534e-06;0,0008939367884351363;-0,11597477462974859;49,977240815921;Not saved
37;RFR;50;5;40;5;cw;3;0,34901446538991665;0,0037036094128246174;0,0025214315669833958;7,490406812892066e-06;0,0027957715479136943;-1,2346904925594648;74,54209692892823;Not saved
38;GPR;50;5;40;5;cw;3;0,9954981035795017;0,00019308625194337445;0,0001128908904084294;1,5132098588944272e-08;0,00010540005530039216;0,9954854846079942;2,612126183409654;Not saved
39;MTN;50;5;40;5;cw;3;0,061311916368173236;0,004098349300200225;0,002290957715604453;7,013645623513723e-06;0,0027205153765565574;-1,09245339866873;75,5265793514823;Not saved
40;ANN;50;5;40;5;cm;3;0,7770534753015539;0,0030972346721032766;0,0016973623062764849;4,134662653983598e-06;0,0016824479139700456;0,264684805038484;21,567801047580453;Not saved
41;RFR;50;5;40;5;cm;3;-0,011312164656666068;0,0033624647431428865;0,002262956572042501;6,3584082349435015e-06;0,002616899955955115;-0,13078976017977628;36,560146591449126;Not saved
42;GPR;50;5;40;5;cm;3;0,9914437413942145;0,00046351030927968724;0,00023260867381147418;7,494446570593991e-08;0,00021392204661779607;0,9866717531698129;3,5363567115400687;Not saved
43;MTN;50;5;40;5;cm;3;-0,04883101818677393;0,004382213756377987;0,002726934402289051;9,168265204182306e-06;0,002770220831674502;-0,6304993370080487;37,89575460913482;Not saved
44;ANN;50;5;40;5;lai;3;0,677452246053085;2,6680315821616674;1,2357519681632034;2,5904886474656634;0,6881324190939209;0,6631990669287904;28,65466579296923;Not saved
45;RFR;50;5;40;5;lai;3;0,301694419917935;4,24214072628187;2,372008094371561;7,184058722988357;2,5637593595992634;0,06596862197871778;63,901929333362226;Not saved
46;GPR;50;5;40;5;lai;3;0,9730753057799723;1,0380600870203853;0,44741707520918367;0,2907860158235094;0,2983576690126055;0,9621936187409154;11,543616091951225;Not saved
47;MTN;50;5;40;5;lai;3;0,7866849401349914;2,551874050423386;0,8978747367622073;1,712784251340016;0,34533545907745067;0,777313313237117;21,210709406255877;Not saved
48;ANN;50;5;40;5;cab;4;0,5864842701287707;41,61009751421625;19,926056091310432;587,9520568295568;14,817139707473242;0,40669340130827825;29,952496475092072;Not saved
49;RFR;50;5;40;5;cab;4;0,9733614113457568;8,228817288071575;6,519882638980732;44,16138786963099;5,76310069692299;0,9554364296780882;12,989199807079682;Not saved
50;GPR;50;5;40;5;cab;4;0,9989631972497742;1,483480343760494;0,8529278729570471;1,0543063328776259;0,9142222886887765;0,9989360919873096;1,7660389931874472;Not saved
51;MTN;50;5;40;5;cab;4;0,7577577109914062;28,70562516314203;13,220200116768401;287,71816855555846;15,79106524310707;0,7096615515081086;14,75943276211146;Not saved
52;ANN;50;5;40;5;cw;4;0,16675911412201727;0,003258489121670009;0,0016260038776054735;4,13929928838346e-06;0,0011331178952873567;-0,23491994449326903;50,33256633472084;Not saved
53;RFR;50;5;40;5;cw;4;0,3461777474057043;0,004175357449703658;0,002556951883904781;8,09842847871938e-06;0,0027450246301255823;-1,4160878812241067;75,90398336730641;Not saved
54;GPR;50;5;40;5;cw;4;0,9901202621611985;0,00029318007758925065;0,00016277209616256377;3,490993921016735e-08;0,00017878524041375172;0,9895849569726282;3,5347461535859033;Not saved
55;MTN;50;5;40;5;cw;4;0,5635749139218105;0,0021585901761298192;0,0010357727224651312;1,8788914811720528e-06;0,0006952099574524338;0,4394508823873865;35,304548595321265;Not saved
56;ANN;50;5;40;5;cm;4;0,7039731009895395;0,0018272814549184372;0,0013265393280203993;2,0193245608682744e-06;0,001561979210172048;0,6408800046275012;18,089019304298855;Not saved
57;RFR;50;5;40;5;cm;4;0,04037371576839832;0,003616092140273615;0,002111202549186321;5,594373486811468e-06;0,0018025003519517302;0,005087433873479652;35,97762618601734;Not saved
58;GPR;50;5;40;5;cm;4;0,9519022557038677;0,0013580612243518989;0,0003377210390271253;3,792167681149668e-07;0,00011549090861698655;0,9325594673339367;4,045576637451664;Not saved
59;MTN;50;5;40;5;cm;4;0,7977197080277131;0,00165317996282594;0,0010722958277802857;1,4795512792748713e-06;0,0012130765452659656;0,7368741712634344;13,020529036915224;Not saved
60;ANN;50;5;40;5;lai;4;0,6954223297944337;3,2405093996970677;1,3120996053397171;2,8353784680736966;1,0266916398794441;0,6313598538285445;30,23278855737164;Not saved
61;RFR;50;5;40;5;lai;4;0,36265177477366395;4,202558407459651;2,335610759665679;6,656146196252223;2,471513182855378;0,13460487396872634;60,93306363978971;Not saved
62;GPR;50;5;40;5;lai;4;0,8366433991299513;3,0135317559702965;0,8469617080470716;1,9236055153343685;0,28123027740519824;0,7499035044761269;28,456778347008154;Not saved
63;MTN;50;5;40;5;lai;4;0,7557827053570554;2,881596931740525;1,027700386276369;1,9642561041330915;0,5442664867996245;0,7446183409025677;25,698556152263574;Not saved
64;ANN;50;5;40;5;cab;5;0,7892691698603985;22,62339554888422;13,234641006843939;211,19481544445762;14,308507037791514;0,7868818109279927;18,789632496723566;Not saved
65;RFR;50;5;40;5;cab;5;0,9624487528725724;9,684670100055243;5,487129269652703;41,38824894845267;4,425121158079357;0,9582348238701183;12,598763986084721;Not saved
66;GPR;50;5;40;5;cab;5;0,9992351742157286;1,7133516005194842;0,7347139887640942;0,8396069876717561;0,6744160610893175;0,9991527466222679;1,8099048645291969;Not saved
67;MTN;50;5;40;5;cab;5;0,6033663573850163;29,320140865665664;16,242374128371246;404,2206909083552;18,650174213084483;0,5920980283037294;20,32634054315537;Not saved
68;ANN;50;5;40;5;cw;5;0,5232647906311279;0,002289146234268428;0,0011498170085176833;1,6823008023130315e-06;0,001051823848651665;0,4981018117622682;36,09347249870254;Not saved
69;RFR;50;5;40;5;cw;5;0,6036069485926854;0,0031345499304618885;0,001967146814895745;5,116794006446674e-06;0,0024164930881943256;-0,5265460480612751;62,49633259497725;Not saved
70;GPR;50;5;40;5;cw;5;0,9945529842594725;0,00017775859405840064;0,00013916743746910558;2,2053064509442172e-08;0,000157126370569422;0,993420681303153;4,0122105685018;Not saved
71;MTN;50;5;40;5;cw;5;0,619085670334536;0,0020441599683706773;0,0009976702204618191;1,4941536199252558e-06;0,0006867612318861658;0,5542337055547599;33,17107398402389;Not saved
72;ANN;50;5;40;5;cm;5;0,680594572888874;0,0021944194158354906;0,0013554899282645376;2,175778301660347e-06;0,0014025140762007763;0,6130560144883924;17,610251170200158;Not saved
73;RFR;50;5;40;5;cm;5;-0,011429744088360172;0,0036956454345327154;0,0024435815933518956;6,619098552884649e-06;0,0022500228718681427;-0,17715135434194784;41,27718466996886;Not saved
74;GPR;50;5;40;5;cm;5;0,9809942434424892;0,0007204882586560532;0,0002120559158194716;1,1266619584997831e-07;0,00014553834349205139;0,9799632587468338;2,276320380968981;Not saved
75;MTN;50;5;40;5;cm;5;0,6887021807445288;0,0020973770005444196;0,001329252615560213;2,0867557827409213e-06;0,001495199922408156;0,6288879254163939;17,201545597200813;Not saved
76;ANN;50;5;40;5;lai;5;0,7166114855819443;3,059871563240769;1,1248404178940397;2,42478923819296;0,5801736955435066;0,6847423829772867;26,190698746287904;Not saved
77;RFR;50;5;40;5;lai;5;0,28800431495960244;4,153008418611179;2,400329155348482;7,4170562075367545;2,5180306827400365;0,035675584301861796;66,55822402888599;Not saved
78;GPR;50;5;40;5;lai;5;0,9542361825404911;1,4423174348581167;0,4760641793114956;0,5241851717150168;0,15275109385444496;0,9318483579889728;14,251807377458176;Not saved
79;MTN;50;5;40;5;lai;5;0,7410640753606386;2,878515610024216;0,9820679340683561;2,0914184208879116;0,3610732202322273;0,7280854033904037;22,125389771304018;Not saved
80;ANN;50;5;41;4;cab;6;0,8871780731164514;16,95452653032953;9,822305420296086;114,60069402740791;8,204692867618789;0,8843556252736728;14,287046410545024;Not saved
81;RFR;50;5;41;4;cab;6;0,9632702569465591;9,713770631060672;7,213527993948707;56,496467034107425;6,8260640753031225;0,942989013636834;15,067605568410624;Not saved
82;GPR;50;5;41;4;cab;6;0,9989590129322371;2,833893572105236;0,8284537414278041;1,7179278492248709;0,47248532231839135;0,9982664267992911;2,440149783196972;Not saved
83;MTN;50;5;41;4;cab;6;0,7661693927221727;25,76383744341547;12,830812576668157;246,23224058398986;15,836827350291514;0,7515252962343499;16,274430456176642;Not saved
84;ANN;50;5;41;4;cw;6;0,6137544458076257;0,002281466548318149;0,0011149411201402553;1,6011666642059825e-06;0,0008582215982555529;0,5223073978644501;34,64003850575496;Not saved
