;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
0;ANN;1850;185;1498;167;cab;1;0,9984341477437231;6,930838809944561;0,9644176403654294;1,8592930351869836;0,721091142186026;0,9984340715828377;2,007623127727432;Not saved
1;RFR;1850;185;1498;167;cab;1;0,9982291043530115;8,861220225714021;0,8477044444350563;2,112567921141585;0,5673684773011871;0,9982207591389335;1,3117370581833474;Not saved
2;GPR;1850;185;1498;167;cab;1;0,999999188959818;0,16585692686571463;0,020919979213900434;0,0009629829030314498;0,01483362797313248;0,999999188959317;0,04182383720907218;Not saved
3;MTN;1850;185;1498;167;cab;1;0,998405507774222;10,049689517952373;0,9236989440458975;1,8935534561861251;0,7293562150081954;0,9984052168698844;1,5951856971993597;Not saved
4;ANN;1850;185;1498;167;cw;1;0,9954079338198352;0,0009733103743158958;0,00014948839700698211;4,002256275778829e-08;0,00011333259071808714;0,9925509928054602;2,9146837652899946;Not saved
5;RFR;1850;185;1498;167;cw;1;-0,04885013057061727;0,00543045997562241;0,0020258285140855098;5,65984390718738e-06;0,001972316970028644;-0,05341125304142924;45,58324800260267;Not saved
6;GPR;1850;185;1498;167;cw;1;0,9999940365377481;3,549699201224783e-05;3,452385926462406e-06;3,238370771889349e-11;1,964280885220597e-06;0,9999939727379967;0,0696736043474694;Not saved
7;MTN;1850;185;1498;167;cw;1;0,9946692016365654;0,0011058729669415138;0,00011571943737067347;3,063503652586003e-08;7,748059910708295e-05;0,9942982010205802;2,1445491308679356;Not saved
8;ANN;1850;185;1498;167;cm;1;0,994985516267961;0,001068606790694435;0,00010925001265864755;2,9351960935522232e-08;7,248855522899939e-05;0,9938002873692381;2,5347946212171344;Not saved
9;RFR;1850;185;1498;167;cm;1;0,11463875821772784;0,00435290027277688;0,0017398264118901072;4,201165450119807e-06;0,0016036379003512014;0,11263105854345401;39,89210705258163;Not saved
