"";"Model";"NSamples";"Variable";"MAPE";"sd";"ErrorType";"ErrorTypeNames";"Model_ErrorType";"PT_type"
"48";"RFR";2600;"cab";1,37592396491916;0,0253012615421609;"Out-of-bag";"Validation error";"RFR Validation error";17
"49";"ANN";2850;"cab";2,04461569417824;0,526081657178099;"Out-of-bag";"Validation error";"ANN Validation error";17
"50";"GPR";2850;"cab";0,042317356434923;0,00162476307000531;"Out-of-bag";"Validation error";"GPR Validation error";17
"51";"MTN";2850;"cab";1,03146769517219;0,201470292220404;"Out-of-bag";"Validation error";"MTN Validation error";17
"52";"RFR";2850;"cab";1,13882703716455;0,0285300669465744;"Out-of-bag";"Validation error";"RFR Validation error";17
"53";"ANN";3100;"cab";2,17075634980527;0,371061725188285;"Out-of-bag";"Validation error";"ANN Validation error";17
"54";"GPR";3100;"cab";0,0369867175883603;0,000708366598690942;"Out-of-bag";"Validation error";"GPR Validation error";17
"55";"MTN";3100;"cab";1,06039428443461;0,227855022073779;"Out-of-bag";"Validation error";"MTN Validation error";17
"56";"RFR";3100;"cab";1,32923818359921;0,0266703046665122;"Out-of-bag";"Validation error";"RFR Validation error";17
"57";"ANN";3350;"cab";1,83491265575667;0,380187742014876;"Out-of-bag";"Validation error";"ANN Validation error";17
"58";"GPR";3350;"cab";0,0309809702683102;0,00107286564133925;"Out-of-bag";"Validation error";"GPR Validation error";17
"59";"MTN";3350;"cab";1,0053775545145;0,228747478039929;"Out-of-bag";"Validation error";"MTN Validation error";17
"60";"RFR";3350;"cab";1,25140013991201;0,0363593718556111;"Out-of-bag";"Validation error";"RFR Validation error";17
"61";"ANN";3600;"cab";1,8143599205528;0,498358163200695;"Out-of-bag";"Validation error";"ANN Validation error";17
"62";"GPR";3600;"cab";0,0318994760210391;0,00106606728633897;"Out-of-bag";"Validation error";"GPR Validation error";17
"63";"MTN";3600;"cab";0,983116212328917;0,185068548251345;"Out-of-bag";"Validation error";"MTN Validation error";17
"64";"RFR";3600;"cab";1,29281136555161;0,0218971934022763;"Out-of-bag";"Validation error";"RFR Validation error";17
"65";"ANN";3850;"cab";1,62501071178688;0,333658458129314;"Out-of-bag";"Validation error";"ANN Validation error";17
"66";"GPR";3850;"cab";0,0322086561298415;0,00208018122300433;"Out-of-bag";"Validation error";"GPR Validation error";17
"67";"MTN";3850;"cab";1,05571018389197;0,250632958161138;"Out-of-bag";"Validation error";"MTN Validation error";17
"68";"RFR";3850;"cab";1,37041032970855;0,0195840842645606;"Out-of-bag";"Validation error";"RFR Validation error";17
"69";"ANN";4000;"cab";1,74500031358193;0,458705891760072;"Out-of-bag";"Validation error";"ANN Validation error";17
"70";"GPR";4000;"cab";0,0270164916692785;0,00103254275194808;"Out-of-bag";"Validation error";"GPR Validation error";17
"71";"MTN";4000;"cab";1,05974278506633;0,244568675802867;"Out-of-bag";"Validation error";"MTN Validation error";17
"72";"RFR";4000;"cab";1,39699276859459;0,0264622999091619;"Out-of-bag";"Validation error";"RFR Validation error";17
