"";"B2";"B3";"B4";"B5";"B6";"B7";"B8A";"B11";"B12";"cab";"cw";"cm";"lai";"car"
"1391";0,024946797876566;0,0652848016719082;0,0208947945077811;0,106904366374172;0,402151777697204;0,492802748997241;0,494515800313359;0,224220550412586;0,0665573554137009;30,3451962807613;0,00953346484660072;0,00986778350403873;6,11891291587137;11,2490469133216
"1624";0,0221860916154674;0,0272954770126319;0,0191322618679647;0,0392044346836061;0,319061143436713;0,532115599783167;0,536260978642749;0,33220905959434;0,127024355643506;86,1648084681074;0,00285414074070744;0,00828145768224295;7,90919024786475;39,0411346963172
"611";0,0219948570403682;0,0327082903017845;0,0190052103651736;0,051808813116925;0,356700406891072;0,544110490646707;0,546929990358511;0,245065823557684;0,0795469619943941;65,2389068427813;0,00972093059935576;0,00726210150103487;7,07854324853471;34,7813959480109
"499";0,0225816231711662;0,0488460157647701;0,0203710529401156;0,0894091052281789;0,456653705725971;0,645919384217995;0,650921353806084;0,401711371695463;0,188228794016482;40,0580292750395;0,00353256810789174;0,00380957809161418;9,35935433083617;46,3862035667978
"151";0,0392528257673806;0,0702647496333607;0,040115416765651;0,103779774584522;0,225344237157419;0,249488443189341;0,257782976096559;0,211190102603747;0,121386593131596;28,0832448636172;0,00770596810432541;0,00590121860749938;0,654022981337821;5,77641663577755
"1256";0,0212248285033933;0,0686000310396678;0,0225794588797256;0,128030054314806;0,416993103169968;0,491188961035616;0,493800360064883;0,283416167475871;0,0999424180831225;24,3889499996676;0,0049419744722451;0,00868436512937555;4,65549581275622;37,6330433616792
"890";0,0218828302687385;0,0235063978764231;0,0188799326400167;0,0298463270590626;0,282653284095879;0,531586621152346;0,536385158745485;0,332701586664782;0,128523057965003;114,779401696544;0,00298875002784972;0,00794049780242;7,03225856606942;45,6492920513688
"1646";0,0223654444749257;0,0233702103050228;0,0192753376483495;0,0283145081638451;0,282828070058697;0,582713872516107;0,58779364111054;0,272163483283723;0,0961120255557811;126,223210172439;0,00876065336492804;0,00587516110818777;8,5960680684589;38,8866403739126
"837";0,0209309484223179;0,0224095378115325;0,0179349494886186;0,0276031161756706;0,266793453625719;0,474659683218427;0,479725538985557;0,249191714370137;0,0922153190961373;120,698433627839;0,00999959176171933;0,00471433863661032;2,75938821189268;20,0873517247479
"563";0,0209134107855902;0,0219014303111441;0,0179134661006873;0,0262360278421199;0,261527202402709;0,483119690117925;0,489031555751017;0,336085597266926;0,158125164117963;128,650196067261;0,00397965748865464;0,0044607550729416;2,83673463358755;19,8802435910155
"771";0,0224710404390123;0,0272070084554966;0,0190952303888668;0,0376351093749148;0,350980931050866;0,680027019167479;0,686326089042357;0,310961817969344;0,128598163134445;91,7583868649563;0,00903777926639739;0,00209450909737172;7,7963814976709;21,9421940221639
"1437";0,0219373636760708;0,0324898099579834;0,0188884564161389;0,0505809973790377;0,339517715832274;0,504991105702592;0,5074979139549;0,235447747874789;0,0723905618498244;65,7870765174414;0,00889758104148193;0,00933902638720109;6,66091371925056;30,2168334021249
"713";0,0207275205684719;0,023050969991709;0,0179390864914473;0,0311831036620628;0,278896864618814;0,467899012513367;0,472374775435693;0,311224434485948;0,121831508402109;103,588120878333;0,00303325117461246;0,00816556951281861;3,51608126287969;59,0736574331111
"524";0,0221722358023645;0,0257131223176122;0,019144636107823;0,0360160682853522;0,338711334647789;0,656374496168356;0,66227097060296;0,303385872344275;0,121346458778095;95,9507563058798;0,00886718507237349;0,00292161846138231;8,01086730364476;48,8720279385511
"1844";0,0267740700850931;0,0613939638837361;0,0202132084222456;0,0995304788591141;0,44577454874983;0,583877400173823;0,586789085454195;0,279728248460304;0,102855985659135;34,4379378393286;0,00859261779559538;0,00494764849866399;6,33000392965509;8,4278089133262
"1887";0,0210421420622557;0,0647471672962797;0,0213622355416779;0,122311720722;0,456119621331107;0,556494089611356;0,560116692617412;0,311850815778154;0,130250533836415;27,0500814636093;0,006900672836154;0,00369895076281032;4,12373974735005;37,9316511502123
"1985";0,0209473069058199;0,0237670450138532;0,0181074122432754;0,0329243529266694;0,291821292999767;0,492657569097352;0,497129448671305;0,334356507820268;0,134527467753349;98,5635635994659;0,00232276815454672;0,00784671656187457;4,21918363699688;59,2826704200293
"1808";0,0219377766343361;0,0983508584768018;0,0377481520566555;0,200020106020014;0,461707492670962;0,512456579331775;0,514592439821992;0,292316345972318;0,102188458446658;13,4319150418391;0,00438015023563493;0,00925155971378697;7,24313803549641;59,0668955400766
"1715";0,0210402939167041;0,0575275814406335;0,0217578806963901;0,112933886328196;0,379554905377374;0,444812705082754;0,450383353788089;0,323265176836174;0,17595980574245;28,7357251115908;0,00521159645535752;0,00204772912655177;1,96905640161789;62,154304525052
"407";0,0211422493634448;0,0391548067112473;0,0185369752818895;0,0670874026852684;0,3770356764705;0,516134224976309;0,520054172150709;0,357365329898811;0,152899357967736;49,5308066939595;0,00218589301367089;0,00670198469490185;4,44320290415879;36,0512569193739
"1195";0,02297762444227;0,0389386936697018;0,0197551779481015;0,0628772615606385;0,392935416777461;0,58897843781793;0,592399233642866;0,286594978420713;0,104225868696687;55,9671623581081;0,00775881622216954;0,00594448952756177;9,62059477104937;25,534177181793
"1658";0,021499385905274;0,0488030123136301;0,019272742148169;0,0848960236909586;0,393361206396098;0,508557455527172;0,511453207069984;0,286916629585527;0,102734826986692;39,0753707236502;0,00538425586344976;0,00795570459238189;5,03382424273261;29,3129159498911
"1512";0,023554438212906;0,0601686977973488;0,0206659463170795;0,101374947970471;0,441461630837577;0,57604220773417;0,578993697883265;0,297364546783564;0,110976353392138;33,9559187927152;0,0067129889639337;0,00602190333440911;7,71410919681559;16,6103581908479
"57";0,0217051860524587;0,0265475167890707;0,0185305212966707;0,0368829618935921;0,306095904685323;0,50522057247617;0,509014557228243;0,299913311199376;0,108197353981074;89,0261073813132;0,0040339207134368;0,00873249236285328;5,67824133108766;24,7148121541137
"1401";0,0220950321379695;0,0425347108126398;0,0190533562021236;0,0701478028565591;0,381075674975326;0,523191129325658;0,526098510243687;0,281965706187259;0,099083843524899;47,9444640208668;0,00596780021663367;0,00794190773715339;6,07549428543221;22,9218707110239
"1082";0,0244918345207184;0,0284594194439509;0,0243554339984292;0,038138674156011;0,214230838952294;0,305003109744797;0,311611055567545;0,23903200370958;0,109452828735029;103,714615540988;0,00359973268726339;0,0099996529020618;1,16985139399064;27,854573033443
"803";0,0222695634278442;0,0361392874453857;0,0190085849874748;0,0572547844144157;0,374356854761086;0,560267358861061;0,564572000966349;0,378854899889473;0,163100292498821;59,4046519091091;0,0020404149600407;0,00642257884552021;6,85837987378206;23,1179753771925
"5";0,0267226329941984;0,0392634642865841;0,0242000157528351;0,0586599134335144;0,272427593446045;0,349770219576698;0,356822335906572;0,265022219211517;0,146392824279186;61,2622307200075;0,00684034413448378;0,00242573103329526;1,19778149702834;9,45677236860348
"923";0,0214603719325261;0,0306005715056243;0,0185895773565166;0,0491524061068965;0,373907475981605;0,601655307864843;0,605808161507781;0,282692575271158;0,107768737713378;68,6808430641265;0,00937238038249732;0,00355621354807567;5,64415322115777;45,1099085932247
"1549";0,0210723780718038;0,0361186946184226;0,0185049465592682;0,0646337010856371;0,393838339503786;0,560882644224007;0,565236719391569;0,350678698797308;0,155491655848331;52,1884889239225;0,00450093692738677;0,0042823035156024;4,58026172730678;60,0018448947528
"932";0,0290742650782531;0,0863709393597116;0,0454279194893713;0,14851836792455;0,265699985340826;0,284366499650063;0,292113586590478;0,217676725964086;0,119810599046868;15,1938270636687;0,009918124054781;0,00329980402726196;0,803370293634297;39,7324623559206
"1093";0,0222028371337042;0,025285852868134;0,0191356511069388;0,0341912386868784;0,330580127255084;0,657335911417166;0,663879801780227;0,33014204632734;0,139780857853547;101,343033600646;0,00731742978705063;0,00289497641469173;7,99414649127948;39,2006073034708
"255";0,0216950382449956;0,0231623876258438;0,0185952322782072;0,0284153880955518;0,26823431973611;0,497554817419925;0,501634355029847;0,284469682199722;0,0980729836088918;119,350088509258;0,00458572160955784;0,00941502934950169;5,98745950895585;26,6879263652469
"904";0,0232076224091069;0,0990862355953341;0,0291750374876809;0,175537114538046;0,486555300613333;0,556412301100944;0,55963664502058;0,303852395624038;0,123114579505276;17,1853657487005;0,00718774686439136;0,00404124841924912;4,29181763673745;15,5514870490558
"1055";0,0316295441605699;0,0364294470092202;0,0361762384872636;0,0488221337473104;0,186335383545325;0,254884986822912;0,263458365233098;0,212714681998342;0,122136149001205;109,669838314803;0,00819090372151459;0,00516581279056114;0,67355035078197;40,4446897861677
"1632";0,0323979045131911;0,0368082591041613;0,0366588380987865;0,048260675055947;0,185330130045977;0,257904457896383;0,266825816574278;0,24500056616444;0,162963528416234;115,958764698426;0,00377184432358643;0,00360702441556771;0,66070449607348;16,6447074396341
"1295";0,0222671572929506;0,102132090605295;0,0396454094044998;0,208248721146919;0,478944226119585;0,532784332217039;0,534269444226689;0,242973633302627;0,0769039493663293;12,9970560227491;0,0092147293584006;0,00839510454462594;8,3534082870244;58,3218590983372
"96";0,0239519572058797;0,0634584475314131;0,0208548766430979;0,106675753071095;0,453227729983419;0,587317184786096;0,590989801817672;0,355746346576008;0,150650590779085;32,1661548028611;0,00396792484765269;0,00533425397903624;7,19810012426204;14,584388219006
"624";0,0244982208673933;0,0252328603998029;0,0188296425379225;0,0316089740415227;0,310899147935225;0,612293385723086;0,617730728012219;0,293102640193163;0,112861260684065;108,379517452943;0,0085379886723241;0,00395475702613333;6,83255545069987;5,01523056272143
"868";0,0219992079804929;0,0483468988097466;0,019476511306768;0,0831813016022852;0,415861372068699;0,561026260768507;0,563766053007596;0,26475684703933;0,092317587991411;41,086913886087;0,00889124716513217;0,00599483619322054;6,27988415016113;26,7606496036172
"166";0,0218193140054503;0,0233950534320705;0,0188463145773075;0,0304005704333311;0,30631625397073;0,622529339144222;0,628309390413381;0,294664856316247;0,114609214518592;113,552204429506;0,00874347887441026;0,00358448382652227;6,90353309685003;61,5651870205892
"118";0,0257334454404891;0,030678240492854;0,0192080544977784;0,0424898467271149;0,340807165489419;0,571310894001814;0,575018456335502;0,269358875853698;0,0939080105446195;80,3340175889389;0,00856369728671499;0,00631540624708009;8,15615509717688;5,92069267694238
"1829";0,0221397895454899;0,0771814659221075;0,0248428975369883;0,14498102800242;0,470037590092829;0,563716234057632;0,566140939810795;0,283725009926813;0,102071229266225;22,2553938827338;0,00722793129437627;0,00649299762454513;7,41363881418698;36,1625561947384
"370";0,0223268355946131;0,0259661150689451;0,0179443410498872;0,0350017563832053;0,32223689800874;0,551380953110285;0,557384288251828;0,381034615796718;0,198613027389078;93,4930274431385;0,00410312941608409;0,00234191194416645;3,49168265665934;9,9003802034294
"142";0,0208062176764901;0,0345810001670715;0,0186710277099339;0,0591868886247829;0,307648900669224;0,398264811631909;0,402533047261811;0,245339711821314;0,0889829434215364;54,4749862757955;0,00631629284087705;0,00901134158313194;2,19931593866096;50,7367313122292
"199";0,0289855070957133;0,090864757508728;0,0377008941442083;0,14527646387857;0,28746229901279;0,310391606581996;0,317450262338603;0,276121312920298;0,162732714604199;17,0215283991889;0,00222605346377405;0,00546319191725038;1,03262559522563;12,7584207484236
"1330";0,0208480941571012;0,0220371329409643;0,0180160191796749;0,0278165004512471;0,287358690368776;0,556486368009965;0,562488773206298;0,334609777094756;0,150339340021738;120,507315160411;0,00596559938146404;0,00312231438320396;3,90801037442895;55,4975323996233
"489";0,0238409742257636;0,0257320893444971;0,0227724892091901;0,0320068027615057;0,211589894028515;0,329729722568111;0,336362183754933;0,245726265625239;0,112510363693324;127,103155287619;0,0050402766081895;0,0078914865659851;1,29753513046771;16,4833614889318
"905";0,0227316710184958;0,0245389328188974;0,0193983098180286;0,0304953262586613;0,297381263198443;0,593797448719254;0,598625630203022;0,264821039548253;0,092331302474666;115,999248598389;0,009697366203823;0,0055308609823986;9,09239091431263;22,6655549915555
"1124";0,0206820397351596;0,0685134624112873;0,0228158941117154;0,130392667201468;0,393308934133319;0,451791790666627;0,455143369749497;0,26269345466745;0,0951190856759928;23,3731975803719;0,006581063973398;0,00762918086633592;2,93431257974274;43,2016790877504
"1755";0,0225377773935167;0,0626026889788489;0,0223416526824553;0,12312114797799;0,505989412787031;0,668582335241844;0,673171274999603;0,375166562960636;0,171332908450611;28,6854763832066;0,00516147061429431;0,00307559514106668;9,32330497688447;57,9337989277047
"415";0,0219324229719225;0,048945483580538;0,0216540475937731;0,0873710214526313;0,311433276403101;0,368587516292726;0,374011366283728;0,261312553165999;0,115968058186755;36,7604707568761;0,00525557120217271;0,00689138188795652;1,60851666524516;43,7390465841779
"421";0,0239261873729485;0,0253283575430943;0,0220436627336121;0,0313217016733486;0,226983055361061;0,366851244119005;0,37411035290538;0,295262455156495;0,1682647777903;127,885001750984;0,00421934433468799;0,00327014598793278;1,37036411116205;10,2830016157762
"30";0,0216267935646765;0,0338072746713954;0,0187866328444678;0,0555471037840174;0,358346030675582;0,525135172601956;0,52846457591164;0,296855917520612;0,107856213067126;60,1740947388534;0,00503733154565343;0,00782864567745422;6,08317631492182;41,2602467799704
"358";0,0225689567176258;0,0711565730385506;0,0217650983558273;0,121297589333436;0,397972341086218;0,466860739476639;0,469113951260854;0,222184660393784;0,0676077370918951;25,5921284214247;0,00979829808587768;0,0090909226247536;3,85510438748464;16,0489651364131
"1421";0,0228890622169836;0,0973303629418653;0,0330725605268349;0,184847619527187;0,47521137095821;0,541350030951956;0,543331959125864;0,277194396225933;0,0948124769186229;15,9894690555892;0,0065692237464377;0,0083482054357986;10,0708554707912;36,9348681745333
"1043";0,0212217280565648;0,0269179113914198;0,0189311950367914;0,0390437867726769;0,289305917829909;0,43038309461245;0,436093291195184;0,264904203354052;0,116838861103744;85,8314835910517;0,00866783100674701;0,00327135112814913;1,95632737131196;30,1292418957066
"264";0,022964128370792;0,0236419681934819;0,0188248597120023;0,0282141839404208;0,271515906504007;0,521078048579733;0,525346092314856;0,276399182314996;0,094918086151444;122,473047331855;0,00613244752879357;0,00840624487123943;6,83329773294296;9,5661022453232
"1688";0,0214590043136672;0,0235473078513186;0,0185353570709011;0,0314019814477651;0,303829461371588;0,57387276137085;0,578919491968053;0,301744973285992;0,117087896187656;107,160020782024;0,00701228168445704;0,00491114219457562;5,75562704834437;58,3271645937565
"753";0,0224622374502143;0,0231285330656675;0,0184129393684632;0,0275995615954363;0,265394774538272;0,498060546919668;0,502193019989716;0,273704117743424;0,093454569193874;122,629064793055;0,00569406103802358;0,00885587645573519;5,3420536822163;9,5779967792307
"1193";0,0220761714311893;0,0466752844022259;0,0194142355403056;0,0802837718704834;0,437033324600357;0,61786792594898;0,621890598886568;0,325272595217236;0,135057288803323;43,436795481183;0,00675718145146434;0,00367970424165023;6,58367633647772;27,0929200560946
"482";0,021964566072601;0,0445909642868876;0,0187933969558287;0,0732391539913533;0,357946252547344;0,457917133079305;0,462826154343497;0,295005166791776;0,133463311160094;45,4280778043028;0,00647237446908758;0,00377674417853477;2,33162862104091;16,4083737874739
"830";0,0276242684945655;0,0630033501842932;0,0317149169458348;0,102400773658941;0,255925487275011;0,286931342823888;0,294002552902498;0,214239251300766;0,104782167782535;29,2566946700114;0,00816752069282185;0,00721654801415334;0,924669383111759;24,1851851360999
"1827";0,0216882134726501;0,0233640853325913;0,0186878647218264;0,0295500838477617;0,293951779674653;0,57995789771422;0,58592075620553;0,366864204472345;0,160184761592645;115,85592579466;0,00354119809817318;0,00508110150075373;6,31946002104263;38,5494536009651
"1849";0,0224232311417096;0,0566367049721285;0,0197907006837457;0,0975008277617952;0,472395687276129;0,637127915000347;0,642457937846593;0,446618753461652;0,245192585374319;35,7345714662313;0,00295748157377846;0,00201095527472469;5,44336179676274;18,8741106825668
"1133";0,0221092235537881;0,0231814488077181;0,0187907626029584;0,0277696356025578;0,280627955797054;0,572319947485201;0,577448888692905;0,281643306658484;0,10264204897678;125,690902306755;0,00797885966941264;0,00561381368202694;6,7084197961661;19,3434138164533
"589";0,0208569161874182;0,0819484265429445;0,0283740930078214;0,162701210015364;0,417001129436057;0,466836770028553;0,469459552989141;0,270858530374738;0,0935433342134276;17,3905029850813;0,00520408370865204;0,00918006967403121;3,86685853031362;53,5876301483696
"1672";0,0238090218842537;0,0278265625764186;0,0231273567179288;0,0376069055451444;0,241264524831072;0,358170266008038;0,365202439471636;0,240893527125949;0,118323643734196;103,300358964638;0,00980642949856473;0,00252313216569528;1,26694436547604;25,2233989062369
"378";0,0222659328563604;0,0229535739604222;0,0184691577437482;0,027253041226138;0,275158788037107;0,548147650029245;0,552995190033284;0,276517254447112;0,0995598009597415;126,059158967262;0,00782703197061495;0,00600278994530296;5,542857047753;11,4416559412636
