"";"Model";"NoiseLevel";"NoiseType";"Variable";"MAPE";"sd";"ErrorType";"Model_ErrorType";"Variable_upper"
"246";"GPR";3;"Combined";"lai";22,5317612123075;0,921722446597173;"Validation error";"GPR Validation error";"LAI"
"247";"MTN";3;"Combined";"lai";8,04177653988837;1,16253472413774;"Validation error";"MTN Validation error";"LAI"
"248";"RFR";3;"Combined";"lai";23,3428390494984;0,840109664591181;"Validation error";"RFR Validation error";"LAI"
"249";"ANN";5;"Combined";"lai";14,6666932097753;1,07017475319277;"Validation error";"ANN Validation error";"LAI"
"250";"GPR";5;"Combined";"lai";24,0137015713959;1,83842521217371;"Validation error";"GPR Validation error";"LAI"
"251";"MTN";5;"Combined";"lai";13,1786016202427;0,790998366459482;"Validation error";"MTN Validation error";"LAI"
"252";"RFR";5;"Combined";"lai";25,9060262717261;1,52564222944906;"Validation error";"RFR Validation error";"LAI"
"253";"ANN";10;"Combined";"lai";24,3299818562337;2,56360983479991;"Validation error";"ANN Validation error";"LAI"
"254";"GPR";10;"Combined";"lai";28,2212031470259;1,72879228924175;"Validation error";"GPR Validation error";"LAI"
"255";"MTN";10;"Combined";"lai";21,8376056653199;1,78766371451083;"Validation error";"MTN Validation error";"LAI"
"256";"RFR";10;"Combined";"lai";31,5332059279533;2,30130480640076;"Validation error";"RFR Validation error";"LAI"
"257";"ANN";15;"Combined";"lai";31,5559742676645;3,12828179168412;"Validation error";"ANN Validation error";"LAI"
"258";"GPR";15;"Combined";"lai";34,1725233245607;2,15173200537715;"Validation error";"GPR Validation error";"LAI"
"259";"MTN";15;"Combined";"lai";29,6677346623124;2,58029679961909;"Validation error";"MTN Validation error";"LAI"
"260";"RFR";15;"Combined";"lai";42,5516526118961;2,31517794751227;"Validation error";"RFR Validation error";"LAI"
"261";"ANN";20;"Combined";"lai";40,4941616504519;3,85318816938951;"Validation error";"ANN Validation error";"LAI"
"262";"GPR";20;"Combined";"lai";43,3301115289316;4,52233272276262;"Validation error";"GPR Validation error";"LAI"
"263";"MTN";20;"Combined";"lai";41,623876378757;3,66189581031545;"Validation error";"MTN Validation error";"LAI"
"264";"RFR";20;"Combined";"lai";56,7342673226151;6,1484368247569;"Validation error";"RFR Validation error";"LAI"
"265";"ANN";25;"Combined";"lai";57,8686805025305;6,55122978570546;"Validation error";"ANN Validation error";"LAI"
"266";"GPR";25;"Combined";"lai";56,637023444164;4,56523000630266;"Validation error";"GPR Validation error";"LAI"
"267";"MTN";25;"Combined";"lai";58,1360572519231;5,59745523716938;"Validation error";"MTN Validation error";"LAI"
"268";"RFR";25;"Combined";"lai";71,6573368163147;8,1680090209508;"Validation error";"RFR Validation error";"LAI"
"269";"ANN";30;"Combined";"lai";68,7858302326504;11,7598068765055;"Validation error";"ANN Validation error";"LAI"
"270";"GPR";30;"Combined";"lai";67,5700876336433;10,6871932540478;"Validation error";"GPR Validation error";"LAI"
"271";"MTN";30;"Combined";"lai";69,299942563334;11,7155939632749;"Validation error";"MTN Validation error";"LAI"
"272";"RFR";30;"Combined";"lai";80,8502622369359;13,8937122521474;"Validation error";"RFR Validation error";"LAI"
"273";"ANN";40;"Combined";"lai";83,3948129996174;11,0139053016713;"Validation error";"ANN Validation error";"LAI"
"274";"GPR";40;"Combined";"lai";82,9713956482124;12,8969133991884;"Validation error";"GPR Validation error";"LAI"
"275";"MTN";40;"Combined";"lai";82,301816267666;8,94001525493037;"Validation error";"MTN Validation error";"LAI"
"276";"RFR";40;"Combined";"lai";88,4309645552477;14,2363211760396;"Validation error";"RFR Validation error";"LAI"
"277";"ANN";50;"Combined";"lai";90,2355074718793;9,63010911197925;"Validation error";"ANN Validation error";"LAI"
"278";"GPR";50;"Combined";"lai";88,7320799654171;9,49666700350707;"Validation error";"GPR Validation error";"LAI"
"279";"MTN";50;"Combined";"lai";90,4827593414503;9,45681732290096;"Validation error";"MTN Validation error";"LAI"
"280";"RFR";50;"Combined";"lai";92,2653130026236;10,035318040842;"Validation error";"RFR Validation error";"LAI"
"281";"ANN";1;"Inverted";"lai";7,07469471307344;1,30522613475854;"Validation error";"ANN Validation error";"LAI"
"282";"GPR";1;"Inverted";"lai";20,4601156189774;1,75620638314316;"Validation error";"GPR Validation error";"LAI"
"283";"MTN";1;"Inverted";"lai";5,40607288400247;1,65905279064436;"Validation error";"MTN Validation error";"LAI"
"284";"RFR";1;"Inverted";"lai";19,9849168870566;2,14758155179588;"Validation error";"RFR Validation error";"LAI"
"285";"ANN";3;"Inverted";"lai";15,2491418824188;2,15622085105896;"Validation error";"ANN Validation error";"LAI"
"286";"GPR";3;"Inverted";"lai";23,4258251623779;1,02121525961923;"Validation error";"GPR Validation error";"LAI"
"287";"MTN";3;"Inverted";"lai";13,4263978176812;1,33338911215742;"Validation error";"MTN Validation error";"LAI"
"288";"RFR";3;"Inverted";"lai";25,2023834469704;1,47580772239353;"Validation error";"RFR Validation error";"LAI"
"289";"ANN";5;"Inverted";"lai";20,2490669149846;1,491933259321;"Validation error";"ANN Validation error";"LAI"
"290";"GPR";5;"Inverted";"lai";24,8416005027092;1,38611786249109;"Validation error";"GPR Validation error";"LAI"
"291";"MTN";5;"Inverted";"lai";17,9801311388457;1,59963106852396;"Validation error";"MTN Validation error";"LAI"
"292";"RFR";5;"Inverted";"lai";26,5169983504231;2,37922516891105;"Validation error";"RFR Validation error";"LAI"
"293";"ANN";10;"Inverted";"lai";26,0332954301899;2,02878263095684;"Validation error";"ANN Validation error";"LAI"
"294";"GPR";10;"Inverted";"lai";28,6504756954073;1,74380984429526;"Validation error";"GPR Validation error";"LAI"
"295";"MTN";10;"Inverted";"lai";24,4122887475602;1,12637663359515;"Validation error";"MTN Validation error";"LAI"
"296";"RFR";10;"Inverted";"lai";29,2722489946754;1,90717009782572;"Validation error";"RFR Validation error";"LAI"
"297";"ANN";15;"Inverted";"lai";34,6181837036596;3,1639574223208;"Validation error";"ANN Validation error";"LAI"
"298";"GPR";15;"Inverted";"lai";36,617108380025;2,74292718945863;"Validation error";"GPR Validation error";"LAI"
"299";"MTN";15;"Inverted";"lai";33,737957567274;3,4414160306784;"Validation error";"MTN Validation error";"LAI"
"300";"RFR";15;"Inverted";"lai";42,0568035396149;3,02546822920304;"Validation error";"RFR Validation error";"LAI"
"301";"ANN";20;"Inverted";"lai";48,3702450967708;5,8730396114477;"Validation error";"ANN Validation error";"LAI"
"302";"GPR";20;"Inverted";"lai";50,0112971867611;6,07334715842859;"Validation error";"GPR Validation error";"LAI"
"303";"MTN";20;"Inverted";"lai";47,732091832662;5,74678294759471;"Validation error";"MTN Validation error";"LAI"
"304";"RFR";20;"Inverted";"lai";62,3583438815978;8,83933102033398;"Validation error";"RFR Validation error";"LAI"
"305";"ANN";25;"Inverted";"lai";59,7774969615865;7,78111354132149;"Validation error";"ANN Validation error";"LAI"
"306";"GPR";25;"Inverted";"lai";58,6257224048947;7,2201942986652;"Validation error";"GPR Validation error";"LAI"
"307";"MTN";25;"Inverted";"lai";59,0497480156693;6,71395259053896;"Validation error";"MTN Validation error";"LAI"
"308";"RFR";25;"Inverted";"lai";72,3832260167734;9,63042671943004;"Validation error";"RFR Validation error";"LAI"
"309";"ANN";30;"Inverted";"lai";70,1313352706342;14,1401893132473;"Validation error";"ANN Validation error";"LAI"
"310";"GPR";30;"Inverted";"lai";69,0273471682836;12,9864328160234;"Validation error";"GPR Validation error";"LAI"
"311";"MTN";30;"Inverted";"lai";69,1435771073058;13,0275118886896;"Validation error";"MTN Validation error";"LAI"
"312";"RFR";30;"Inverted";"lai";79,8852932373146;14,0327185328047;"Validation error";"RFR Validation error";"LAI"
"313";"ANN";40;"Inverted";"lai";85,2856520092373;15,7427945289478;"Validation error";"ANN Validation error";"LAI"
"314";"GPR";40;"Inverted";"lai";84,9330838628182;13,7328546922178;"Validation error";"GPR Validation error";"LAI"
"315";"MTN";40;"Inverted";"lai";87,1030488528324;15,1361073839783;"Validation error";"MTN Validation error";"LAI"
"316";"RFR";40;"Inverted";"lai";88,3042102116172;15,4151675995528;"Validation error";"RFR Validation error";"LAI"
"317";"ANN";50;"Inverted";"lai";91,3819619289334;9,37041386803276;"Validation error";"ANN Validation error";"LAI"
"318";"GPR";50;"Inverted";"lai";89,8826365629359;9,77594677673523;"Validation error";"GPR Validation error";"LAI"
"319";"MTN";50;"Inverted";"lai";93,2449784843638;13,4776256694534;"Validation error";"MTN Validation error";"LAI"
"320";"RFR";50;"Inverted";"lai";92,6904802274585;9,94260517674941;"Validation error";"RFR Validation error";"LAI"
"321";"ANN";1;"Combined";"cab";2,14993122309264;0,534184468362095;"Training error";"ANN Training error";"Cab"
"322";"GPR";1;"Combined";"cab";4,29573714478238;0,0284425977424961;"Training error";"GPR Training error";"Cab"
"323";"MTN";1;"Combined";"cab";1,27529028744658;0,324254716703515;"Training error";"MTN Training error";"Cab"
"324";"RFR";1;"Combined";"cab";1,44541624606613;0,0326787832956181;"Training error";"RFR Training error";"Cab"
"325";"ANN";3;"Combined";"cab";2,76941948318904;0,363710160172371;"Training error";"ANN Training error";"Cab"
"326";"GPR";3;"Combined";"cab";6,55332281153717;0,0484014079685124;"Training error";"GPR Training error";"Cab"
"327";"MTN";3;"Combined";"cab";1,89500046650482;0,282062034945972;"Training error";"MTN Training error";"Cab"
"328";"RFR";3;"Combined";"cab";2,56824881628641;0,0619941218609514;"Training error";"RFR Training error";"Cab"
"329";"ANN";5;"Combined";"cab";5,0736964174097;0,348484283721713;"Training error";"ANN Training error";"Cab"
"330";"GPR";5;"Combined";"cab";9,44288758298955;0,077113977871941;"Training error";"GPR Training error";"Cab"
"331";"MTN";5;"Combined";"cab";3,67140364756723;0,235541426902266;"Training error";"MTN Training error";"Cab"
"332";"RFR";5;"Combined";"cab";3,9357771864197;0,0691028259663245;"Training error";"RFR Training error";"Cab"
"333";"ANN";10;"Combined";"cab";12,7507666993964;0,971722194558662;"Training error";"ANN Training error";"Cab"
"334";"GPR";10;"Combined";"cab";20,1225029153936;0,103714849868548;"Training error";"GPR Training error";"Cab"
"335";"MTN";10;"Combined";"cab";11,4205711280161;0,622476931332226;"Training error";"MTN Training error";"Cab"
"336";"RFR";10;"Combined";"cab";10,9897353322506;0,0867886933496732;"Training error";"RFR Training error";"Cab"
"337";"ANN";15;"Combined";"cab";22,5416638586441;1,07833890766701;"Training error";"ANN Training error";"Cab"
"338";"GPR";15;"Combined";"cab";25,5854102150831;0,155965329599886;"Training error";"GPR Training error";"Cab"
"339";"MTN";15;"Combined";"cab";21,656417575322;0,871947529055272;"Training error";"MTN Training error";"Cab"
"340";"RFR";15;"Combined";"cab";22,0337997142005;0,281113324004035;"Training error";"RFR Training error";"Cab"
"341";"ANN";20;"Combined";"cab";35,4298288726806;1,57887571773211;"Training error";"ANN Training error";"Cab"
"342";"GPR";20;"Combined";"cab";38,2160202553142;0,339122784618291;"Training error";"GPR Training error";"Cab"
"343";"MTN";20;"Combined";"cab";34,9643459913091;0,670293289398594;"Training error";"MTN Training error";"Cab"
"344";"RFR";20;"Combined";"cab";34,4309105548022;0,484103239100678;"Training error";"RFR Training error";"Cab"
"345";"ANN";25;"Combined";"cab";47,1076833805952;1,67142674795748;"Training error";"ANN Training error";"Cab"
"346";"GPR";25;"Combined";"cab";49,7597158850465;0,343143483346373;"Training error";"GPR Training error";"Cab"
"347";"MTN";25;"Combined";"cab";47,1482481634817;1,40498472337393;"Training error";"MTN Training error";"Cab"
"348";"RFR";25;"Combined";"cab";45,3266094155816;0,472410916018614;"Training error";"RFR Training error";"Cab"
"349";"ANN";30;"Combined";"cab";57,6260624781757;2,06659523688886;"Training error";"ANN Training error";"Cab"
"350";"GPR";30;"Combined";"cab";57,952796033641;0,316431435634398;"Training error";"GPR Training error";"Cab"
"351";"MTN";30;"Combined";"cab";57,0704487921313;1,06292238372319;"Training error";"MTN Training error";"Cab"
"352";"RFR";30;"Combined";"cab";53,8061953863164;0,319060357577185;"Training error";"RFR Training error";"Cab"
"353";"ANN";40;"Combined";"cab";62,6533341686811;3,28554446773715;"Training error";"ANN Training error";"Cab"
"354";"GPR";40;"Combined";"cab";62,3595455980945;0,379191450643977;"Training error";"GPR Training error";"Cab"
"355";"MTN";40;"Combined";"cab";61,005168417617;2,09193835478072;"Training error";"MTN Training error";"Cab"
"356";"RFR";40;"Combined";"cab";61,7745893640013;0,33969195947722;"Training error";"RFR Training error";"Cab"
"357";"ANN";50;"Combined";"cab";68,035823797166;2,93332055416507;"Training error";"ANN Training error";"Cab"
"358";"GPR";50;"Combined";"cab";68,9323406951323;0,614091139362597;"Training error";"GPR Training error";"Cab"
"359";"MTN";50;"Combined";"cab";68,0877284037695;2,00767775744273;"Training error";"MTN Training error";"Cab"
"360";"RFR";50;"Combined";"cab";66,1370432442747;0,597569445062757;"Training error";"RFR Training error";"Cab"
"361";"ANN";1;"Inverted";"cab";2,19660506118913;0,525127116916636;"Training error";"ANN Training error";"Cab"
"362";"GPR";1;"Inverted";"cab";4,31485499652387;0,0304553955006692;"Training error";"GPR Training error";"Cab"
"363";"MTN";1;"Inverted";"cab";1,3981011031573;0,348433550078024;"Training error";"MTN Training error";"Cab"
"364";"RFR";1;"Inverted";"cab";2,09740329732914;0,0277545361952428;"Training error";"RFR Training error";"Cab"
"365";"ANN";3;"Inverted";"cab";4,13812398426696;0,391785617329807;"Training error";"ANN Training error";"Cab"
"366";"GPR";3;"Inverted";"cab";7,17998029633193;0,0653696010271251;"Training error";"GPR Training error";"Cab"
"367";"MTN";3;"Inverted";"cab";3,59334540241222;0,616930570310164;"Training error";"MTN Training error";"Cab"
"368";"RFR";3;"Inverted";"cab";6,1321505903963;0,0690531805094806;"Training error";"RFR Training error";"Cab"
"369";"ANN";5;"Inverted";"cab";9,30569014114365;0,732057911340538;"Training error";"ANN Training error";"Cab"
"370";"GPR";5;"Inverted";"cab";10,7310088295965;0,0526382158817379;"Training error";"GPR Training error";"Cab"
"371";"MTN";5;"Inverted";"cab";7,31904825992616;0,497386528604696;"Training error";"MTN Training error";"Cab"
"372";"RFR";5;"Inverted";"cab";12,6191235141282;0,0949279137021014;"Training error";"RFR Training error";"Cab"
"373";"ANN";10;"Inverted";"cab";28,663286912477;0,509586004882116;"Training error";"ANN Training error";"Cab"
"374";"GPR";10;"Inverted";"cab";27,9967252646574;0,140887962298562;"Training error";"GPR Training error";"Cab"
"375";"MTN";10;"Inverted";"cab";24,9668886315478;0,964612746213111;"Training error";"MTN Training error";"Cab"
"376";"RFR";10;"Inverted";"cab";33,9190583898001;0,274296652961683;"Training error";"RFR Training error";"Cab"
"377";"ANN";15;"Inverted";"cab";48,1912982822358;2,32548657192466;"Training error";"ANN Training error";"Cab"
"378";"GPR";15;"Inverted";"cab";48,3864585077829;0,257000719278851;"Training error";"GPR Training error";"Cab"
"379";"MTN";15;"Inverted";"cab";46,5292171555638;0,967775128241852;"Training error";"MTN Training error";"Cab"
"380";"RFR";15;"Inverted";"cab";48,5661739143648;0,293783406166236;"Training error";"RFR Training error";"Cab"
"381";"ANN";20;"Inverted";"cab";59,1231382395221;3,58756190103308;"Training error";"ANN Training error";"Cab"
"382";"GPR";20;"Inverted";"cab";56,3974999975317;0,404403982176802;"Training error";"GPR Training error";"Cab"
"383";"MTN";20;"Inverted";"cab";57,6258560885605;1,71653803124848;"Training error";"MTN Training error";"Cab"
"384";"RFR";20;"Inverted";"cab";53,6891075833636;0,510670144967222;"Training error";"RFR Training error";"Cab"
"385";"ANN";25;"Inverted";"cab";75,0553376505671;12,8782675698445;"Training error";"ANN Training error";"Cab"
"386";"GPR";25;"Inverted";"cab";64,8491688886958;0,441193766311354;"Training error";"GPR Training error";"Cab"
"387";"MTN";25;"Inverted";"cab";65,5785341809045;1,38194506396124;"Training error";"MTN Training error";"Cab"
"388";"RFR";25;"Inverted";"cab";62,5200133276796;0,514158401823381;"Training error";"RFR Training error";"Cab"
"389";"ANN";30;"Inverted";"cab";76,3631628285652;6,70833855435141;"Training error";"ANN Training error";"Cab"
"390";"GPR";30;"Inverted";"cab";70,2935236606943;0,377993907142196;"Training error";"GPR Training error";"Cab"
"391";"MTN";30;"Inverted";"cab";71,099611885453;2,66608754752838;"Training error";"MTN Training error";"Cab"
"392";"RFR";30;"Inverted";"cab";61,5592566434782;0,245992560464032;"Training error";"RFR Training error";"Cab"
"393";"ANN";40;"Inverted";"cab";79,4882294292443;14,8172195564071;"Training error";"ANN Training error";"Cab"
"394";"GPR";40;"Inverted";"cab";66,8496082420603;0,677455652333438;"Training error";"GPR Training error";"Cab"
"395";"MTN";40;"Inverted";"cab";69,5369981567604;2,20574813237256;"Training error";"MTN Training error";"Cab"
"396";"RFR";40;"Inverted";"cab";61,0995169062334;0,521232601971926;"Training error";"RFR Training error";"Cab"
"397";"ANN";50;"Inverted";"cab";81,8848396543817;17,1491072249456;"Training error";"ANN Training error";"Cab"
"398";"GPR";50;"Inverted";"cab";79,0005041548327;0,859176888672769;"Training error";"GPR Training error";"Cab"
"399";"MTN";50;"Inverted";"cab";78,330793298459;2,14545354966765;"Training error";"MTN Training error";"Cab"
"400";"RFR";50;"Inverted";"cab";65,5852625820273;0,72569173517019;"Training error";"RFR Training error";"Cab"
"401";"ANN";1;"Combined";"cm";2,98865508574189;0,543675593513878;"Training error";"ANN Training error";"Cm"
"402";"GPR";1;"Combined";"cm";9,30093469834293;0,0563996603557943;"Training error";"GPR Training error";"Cm"
"403";"MTN";1;"Combined";"cm";2,48210313764513;0,528617399951424;"Training error";"MTN Training error";"Cm"
"404";"RFR";1;"Combined";"cm";35,3201768340259;0,333896226424947;"Training error";"RFR Training error";"Cm"
"405";"ANN";3;"Combined";"cm";6,77669308674113;0,50966307516151;"Training error";"ANN Training error";"Cm"
"406";"GPR";3;"Combined";"cm";14,7710577108301;0,0636870867694683;"Training error";"GPR Training error";"Cm"
"407";"MTN";3;"Combined";"cm";6,64330424701897;0,368181566431941;"Training error";"MTN Training error";"Cm"
"408";"RFR";3;"Combined";"cm";32,9910649193247;0,343389452460778;"Training error";"RFR Training error";"Cm"
"409";"ANN";5;"Combined";"cm";15,0058216111246;1,725209538896;"Training error";"ANN Training error";"Cm"
"410";"GPR";5;"Combined";"cm";19,8492337096528;0,0796460014957199;"Training error";"GPR Training error";"Cm"
"411";"MTN";5;"Combined";"cm";13,6366591215351;1,26923069314063;"Training error";"MTN Training error";"Cm"
"412";"RFR";5;"Combined";"cm";33,3480390305039;0,38773248018362;"Training error";"RFR Training error";"Cm"
"413";"ANN";10;"Combined";"cm";26,4147113741173;0,849678203339711;"Training error";"ANN Training error";"Cm"
"414";"GPR";10;"Combined";"cm";28,880400064285;0,143840126282286;"Training error";"GPR Training error";"Cm"
"415";"MTN";10;"Combined";"cm";25,9349740938227;0,427458511713629;"Training error";"MTN Training error";"Cm"
"416";"RFR";10;"Combined";"cm";35,0995364152585;0,38638878433162;"Training error";"RFR Training error";"Cm"
"417";"ANN";15;"Combined";"cm";26,4396635893948;0,640857798436067;"Training error";"ANN Training error";"Cm"
"418";"GPR";15;"Combined";"cm";28,4192476280974;0,139765269516312;"Training error";"GPR Training error";"Cm"
"419";"MTN";15;"Combined";"cm";26,5221827352636;0,325272039512121;"Training error";"MTN Training error";"Cm"
"420";"RFR";15;"Combined";"cm";34,2742015037702;0,175313367967145;"Training error";"RFR Training error";"Cm"
"421";"ANN";20;"Combined";"cm";35,4954647471021;1,03824989881371;"Training error";"ANN Training error";"Cm"
"422";"GPR";20;"Combined";"cm";34,6390660956605;0,0959523272376616;"Training error";"GPR Training error";"Cm"
"423";"MTN";20;"Combined";"cm";34,9468358197853;1,0806785385192;"Training error";"MTN Training error";"Cm"
"424";"RFR";20;"Combined";"cm";40,3829264914151;0,131530508919216;"Training error";"RFR Training error";"Cm"
"425";"ANN";25;"Combined";"cm";37,3311600122746;1,18948667676971;"Training error";"ANN Training error";"Cm"
"426";"GPR";25;"Combined";"cm";36,243138837165;0,128815364418731;"Training error";"GPR Training error";"Cm"
"427";"MTN";25;"Combined";"cm";36,8965283950787;1,03964675766;"Training error";"MTN Training error";"Cm"
"428";"RFR";25;"Combined";"cm";40,2661364970001;0,175186035146344;"Training error";"RFR Training error";"Cm"
"429";"ANN";30;"Combined";"cm";34,6945274658189;0,791307436249963;"Training error";"ANN Training error";"Cm"
"430";"GPR";30;"Combined";"cm";34,1360936883667;0,116930124575048;"Training error";"GPR Training error";"Cm"
"431";"MTN";30;"Combined";"cm";35,378591217982;0,671165093036945;"Training error";"MTN Training error";"Cm"
"432";"RFR";30;"Combined";"cm";36,8044031351455;0,134691209766226;"Training error";"RFR Training error";"Cm"
"433";"ANN";40;"Combined";"cm";43,2748098157376;1,52195760030577;"Training error";"ANN Training error";"Cm"
"434";"GPR";40;"Combined";"cm";42,8207638668336;0,252202563165762;"Training error";"GPR Training error";"Cm"
"435";"MTN";40;"Combined";"cm";43,7083239375876;1,99372346588247;"Training error";"MTN Training error";"Cm"
"436";"RFR";40;"Combined";"cm";43,067510469625;0,273831989327217;"Training error";"RFR Training error";"Cm"
"437";"ANN";50;"Combined";"cm";46,0939641935838;1,81349257170156;"Training error";"ANN Training error";"Cm"
"438";"GPR";50;"Combined";"cm";44,561685757581;0,337485406882963;"Training error";"GPR Training error";"Cm"
"439";"MTN";50;"Combined";"cm";46,6123089521201;1,46101343219608;"Training error";"MTN Training error";"Cm"
"440";"RFR";50;"Combined";"cm";44,5697754953264;0,163274513929978;"Training error";"RFR Training error";"Cm"
"441";"ANN";1;"Inverted";"cm";3,60714231955024;0,357773259499068;"Training error";"ANN Training error";"Cm"
"442";"GPR";1;"Inverted";"cm";9,46951140548019;0,0502544129200411;"Training error";"GPR Training error";"Cm"
"443";"MTN";1;"Inverted";"cm";7,83069673317663;12,3799977855377;"Training error";"MTN Training error";"Cm"
"444";"RFR";1;"Inverted";"cm";35,3511104237751;0,309853050317162;"Training error";"RFR Training error";"Cm"
"445";"ANN";3;"Inverted";"cm";15,8691454809923;0,488335673699454;"Training error";"ANN Training error";"Cm"
"446";"GPR";3;"Inverted";"cm";17,113066383201;0,0621955310510624;"Training error";"GPR Training error";"Cm"
"447";"MTN";3;"Inverted";"cm";13,2125282022195;0,317953385018831;"Training error";"MTN Training error";"Cm"
"448";"RFR";3;"Inverted";"cm";36,8842722175968;0,378927579579306;"Training error";"RFR Training error";"Cm"
"449";"ANN";5;"Inverted";"cm";25,9595822797953;1,16520882278133;"Training error";"ANN Training error";"Cm"
"450";"GPR";5;"Inverted";"cm";24,0083564646435;0,0603084153871706;"Training error";"GPR Training error";"Cm"
"451";"MTN";5;"Inverted";"cm";20,1771990736075;0,477395404880388;"Training error";"MTN Training error";"Cm"
"452";"RFR";5;"Inverted";"cm";35,1806076302118;0,434141397056176;"Training error";"RFR Training error";"Cm"
"453";"ANN";10;"Inverted";"cm";34,4422169444982;1,69475394351471;"Training error";"ANN Training error";"Cm"
"454";"GPR";10;"Inverted";"cm";30,8558881662208;0,116190507379198;"Training error";"GPR Training error";"Cm"
"455";"MTN";10;"Inverted";"cm";27,7963194756918;0,414332472811468;"Training error";"MTN Training error";"Cm"
"456";"RFR";10;"Inverted";"cm";39,5898361161378;0,22886567049861;"Training error";"RFR Training error";"Cm"
"457";"ANN";15;"Inverted";"cm";37,5648629336813;2,64543523639745;"Training error";"ANN Training error";"Cm"
"458";"GPR";15;"Inverted";"cm";31,44703901496;0,150159609245247;"Training error";"GPR Training error";"Cm"
"459";"MTN";15;"Inverted";"cm";30,7341433523996;0,831470926300392;"Training error";"MTN Training error";"Cm"
"460";"RFR";15;"Inverted";"cm";37,5520098818433;0,258175986331088;"Training error";"RFR Training error";"Cm"
"461";"ANN";20;"Inverted";"cm";44,3021919420482;2,4910700461533;"Training error";"ANN Training error";"Cm"
"462";"GPR";20;"Inverted";"cm";37,9723986509132;0,128936972436525;"Training error";"GPR Training error";"Cm"
"463";"MTN";20;"Inverted";"cm";38,0284169570641;1,22590020539075;"Training error";"MTN Training error";"Cm"
"464";"RFR";20;"Inverted";"cm";41,4676189781356;0,203002939625349;"Training error";"RFR Training error";"Cm"
"465";"ANN";25;"Inverted";"cm";46,9037409313982;2,95183007050571;"Training error";"ANN Training error";"Cm"
"466";"GPR";25;"Inverted";"cm";38,8679057558317;0,165366046375859;"Training error";"GPR Training error";"Cm"
"467";"MTN";25;"Inverted";"cm";39,7058757546454;0,898887049363539;"Training error";"MTN Training error";"Cm"
"468";"RFR";25;"Inverted";"cm";40,5381055000538;0,262481523928553;"Training error";"RFR Training error";"Cm"
"469";"ANN";30;"Inverted";"cm";47,8448514825688;6,07489340093863;"Training error";"ANN Training error";"Cm"
"470";"GPR";30;"Inverted";"cm";37,2696057045006;0,237671352737106;"Training error";"GPR Training error";"Cm"
"471";"MTN";30;"Inverted";"cm";38,5674909773023;0,80988559280647;"Training error";"MTN Training error";"Cm"
"472";"RFR";30;"Inverted";"cm";37,5676020651153;0,416844272695524;"Training error";"RFR Training error";"Cm"
"473";"ANN";40;"Inverted";"cm";54,3046658507123;8,80154889712217;"Training error";"ANN Training error";"Cm"
"474";"GPR";40;"Inverted";"cm";43,4685163416765;0,245763464337979;"Training error";"GPR Training error";"Cm"
"475";"MTN";40;"Inverted";"cm";44,22561568049;1,09608423102101;"Training error";"MTN Training error";"Cm"
"476";"RFR";40;"Inverted";"cm";42,3603190466353;0,576917961725583;"Training error";"RFR Training error";"Cm"
"477";"ANN";50;"Inverted";"cm";45,676264716752;4,10557601250965;"Training error";"ANN Training error";"Cm"
"478";"GPR";50;"Inverted";"cm";46,9544294750364;0,235028022531385;"Training error";"GPR Training error";"Cm"
"479";"MTN";50;"Inverted";"cm";47,1288994391581;1,53305570748672;"Training error";"MTN Training error";"Cm"
"480";"RFR";50;"Inverted";"cm";44,5911085471905;0,348072950161366;"Training error";"RFR Training error";"Cm"
"481";"ANN";1;"Combined";"cw";2,73341574791928;0,817492088169229;"Training error";"ANN Training error";"Cw"
"482";"GPR";1;"Combined";"cw";7,34166490058563;0,0480176378595089;"Training error";"GPR Training error";"Cw"
"483";"MTN";1;"Combined";"cw";2,45663419931219;0,474530332563787;"Training error";"MTN Training error";"Cw"
"484";"RFR";1;"Combined";"cw";41,244987050649;0,329636750940383;"Training error";"RFR Training error";"Cw"
"485";"ANN";3;"Combined";"cw";5,6344660240202;0,571968185727056;"Training error";"ANN Training error";"Cw"
"486";"GPR";3;"Combined";"cw";11,5060438249109;0,0443446181762403;"Training error";"GPR Training error";"Cw"
"487";"MTN";3;"Combined";"cw";5,59856175770649;0,387977722575149;"Training error";"MTN Training error";"Cw"
"488";"RFR";3;"Combined";"cw";40,8292957345772;0,290467284671253;"Training error";"RFR Training error";"Cw"
"489";"ANN";5;"Combined";"cw";10,3963471367295;0,845492249266532;"Training error";"ANN Training error";"Cw"
"490";"GPR";5;"Combined";"cw";13,8548205633586;0,107221093687988;"Training error";"GPR Training error";"Cw"
"491";"MTN";5;"Combined";"cw";11,4071136127593;1,28364581601867;"Training error";"MTN Training error";"Cw"
"492";"RFR";5;"Combined";"cw";38,4065527278606;0,285935247826871;"Training error";"RFR Training error";"Cw"
"493";"ANN";10;"Combined";"cw";21,2329003218047;0,740571813043653;"Training error";"ANN Training error";"Cw"
"494";"GPR";10;"Combined";"cw";22,5640716349881;0,0787259412144427;"Training error";"GPR Training error";"Cw"
"495";"MTN";10;"Combined";"cw";20,8526666696883;0,32413593592496;"Training error";"MTN Training error";"Cw"
"496";"RFR";10;"Combined";"cw";36,1639559919616;0,347883864985734;"Training error";"RFR Training error";"Cw"
"497";"ANN";15;"Combined";"cw";29,2420083557063;0,689527004433938;"Training error";"ANN Training error";"Cw"
"498";"GPR";15;"Combined";"cw";29,5373243886104;0,0704185211305079;"Training error";"GPR Training error";"Cw"
