;Model;NoiseLevel;NoiseType;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
0;RFR;0,25;Combined;200;1620;180;cab;1;0,33334216170727793;60,07348369619895;23,36269077558034;782,7237300683008;21,727659090989206;0,33320007078231084;45,276561046798655;Not stored
1;GPR;0,25;Combined;200;1620;180;cab;1;0,2930027286548941;66,98073306519636;23,9723458152024;830,1359655336223;20,780770037195047;0,29280973376062613;49,53647599349396;Not stored
2;ANN;0,25;Combined;200;1620;180;cab;1;0,28844884516125224;67,47217320290937;24,015522498201324;843,1351327187419;20,158485878594888;0,28173578336669824;50,083452185718926;Not stored
3;MTN;0,25;Combined;200;1620;180;cab;1;0,29798481774877383;72,59438663137645;23,32308547892696;824,3162745301461;20,833711796787775;0,2977675105599168;45,38261642463972;Not stored
4;RFR;0,25;Inverted;200;1620;180;cab;1;-0,45058455188055024;110,67364996979303;40,810721144275576;2518,5938071627975;32,54963247823398;-1,145582288910186;63,04037357957755;Not stored
5;GPR;0,25;Inverted;200;1620;180;cab;1;0,07203855305783857;69,70276707957146;28,26029502477154;1089,5964657986817;27,48233548030486;0,07177613459220566;64,1510675099145;Not stored
6;ANN;0,25;Inverted;200;1620;180;cab;1;-0,6574901391140195;136,88475420691074;41,53458420708448;2746,3241682177318;34,00441229832311;-1,3395850804429004;65,25736840825017;Not stored
7;MTN;0,25;Inverted;200;1620;180;cab;1;0,0711984249267098;70,67332218972578;28,203648455138396;1090,750408116884;26,88055373141428;0,07079309469378392;65,52736913536555;Not stored
8;RFR;0,25;Combined;200;1620;180;cw;1;0,056030389215636855;0,004195394294453942;0,0019144446667922737;4,859842132101057e-06;0,0018609357326004332;0,05126626756384134;38,89250906465449;Not stored
9;GPR;0,25;Combined;200;1620;180;cw;1;0,10851485440466935;0,004340971192159343;0,001821131961227372;4,580323952088006e-06;0,00171953421823888;0,10583353929801498;36,68788166640277;Not stored
10;ANN;0,25;Combined;200;1620;180;cw;1;0,08277071063399388;0,004599486149864121;0,0018334298249587982;4,712806192190398e-06;0,001675662434796223;0,07997048310867616;36,748546669966686;Not stored
11;MTN;0,25;Combined;200;1620;180;cw;1;0,09525581562211016;0,004585076247166191;0,001848799279835613;4,702307834342727e-06;0,0017836153050594223;0,08201996248568755;36,46554012340505;Not stored
12;RFR;0,25;Inverted;200;1620;180;cw;1;0,033278157064953184;0,004345970169851898;0,0019168457378038045;5,052339856788286e-06;0,0018588083917605506;0,01368704588055869;38,04752252934924;Not stored
13;GPR;0,25;Inverted;200;1620;180;cw;1;0,046743975580509356;0,004580434534217737;0,0019002245892082883;4,907138124795008e-06;0,0018881565574405683;0,04203318911024012;38,72937620294318;Not stored
14;ANN;0,25;Inverted;200;1620;180;cw;1;-0,4479650937560178;0,008512988915017578;0,0022121167999841996;7,643705953652254e-06;0,0020204792714051322;-0,49219696482564523;42,19374391790906;Not stored
15;MTN;0,25;Inverted;200;1620;180;cw;1;0,02940853614835326;0,004884548425789722;0,0019073285256915795;4,9838902162041865e-06;0,0018195123589925125;0,027049719241141745;39,24449343393525;Not stored
