;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
0;ANN;3350;335;2713;302;cab;1;0,9989254113629294;5,213694996715503;1,067869453899732;1,9541428904669926;0,7985505345840629;0,9983134140371861;1,9892098251724006;Not saved
1;RFR;3350;335;2713;302;cab;1;0,998765791293154;8,723174998635756;0,7738413554794906;1,435034523812372;0,5859320695065477;0,9987614472330439;1,1970470537320694;Not saved
2;GPR;3350;335;2713;302;cab;1;0,999998654526461;0,5281608211822331;0,018660778439994814;0,001560480795209858;0,011517296173490621;0,999998653176788;0,03320160013334258;Not saved
3;MTN;3350;335;2713;302;cab;1;0,999266655082937;4,843971247899873;0,6490630726803204;0,912466124963012;0,43740071280635107;0,9992124667211321;1,0520341552590857;Not saved
4;ANN;3350;335;2713;302;cw;1;0,9974450113459716;0,0005345795255471512;0,00012030542366896949;2,3460897494167076e-08;0,00010339304383501832;0,9955897235137857;2,5002918909469503;Not saved
5;RFR;3350;335;2713;302;cw;1;-0,015296405048370154;0,005074565019321873;0,0019821054090641823;5,4022922798119645e-06;0,001865765525212359;-0,015545233051524665;44,37342718434991;Not saved
6;GPR;3350;335;2713;302;cw;1;0,9999964272144051;3,491753994507192e-05;2,8263150959560166e-06;1,9006028192571943e-11;1,9298038482452526e-06;0,9999964271682592;0,057600322762655316;Not saved
7;MTN;3350;335;2713;302;cw;1;0,9975682334701629;0,0006225484219136539;0,00011638904918879316;2,0924176907861208e-08;0,00010410470141888786;0,9960665867350952;2,2592186778278855;Not saved
8;ANN;3350;335;2713;302;cm;1;0,9957354200338484;0,0006627407665688637;0,00012318059508720534;2,7175425208083186e-08;9,375304433587028e-05;0,9949410766380151;2,6461946154161224;Not saved
9;RFR;3350;335;2713;302;cm;1;0,1734785212571699;0,004414054062068985;0,0017924338348490661;4,439920374014596e-06;0,0016386951824137958;0,17347321215883338;39,33250440796737;Not saved
10;GPR;3350;335;2713;302;cm;1;0,9999960039226125;3,709064651834064e-05;3,051054288532774e-06;2,148072590262847e-11;2,1094492265493273e-06;0,9999960011905878;0,06111161875749759;Not saved
11;MTN;3350;335;2713;302;cm;1;0,9981356384422738;0,00048239956082805164;7,791772964010743e-05;1,002543736205562e-08;6,364291735149168e-05;0,998133684426401;1,6437623790131177;Not saved
12;ANN;3350;335;2713;302;lai;1;0,9934712027287352;1,1832412840764093;0,18183907495016302;0,057052011010068;0,14631765950478148;0,993047805264218;5,2958190510160845;Not saved
13;RFR;3350;335;2713;302;lai;1;0,9761663030271057;1,6565316868234485;0,3123958523900113;0,19697262549717368;0,21906436282788078;0,9759974797411971;11,185767079299664;Not saved
14;GPR;3350;335;2713;302;lai;1;0,9999966746522247;0,02480544311080024;0,0036965226710903476;2,734658123385733e-05;0,0026706347304588096;0,9999966676238974;0,12487346714778527;Not saved
15;MTN;3350;335;2713;302;lai;1;0,9978524368029577;0,8911184431950616;0,09156294152479487;0,018629321066508647;0,06364595905216186;0,9977298842660092;2,1436123676147485;Not saved
16;ANN;3350;335;2713;302;cab;2;0,998975733395549;4,969005941378981;0,8857910540528063;1,2869934482229863;0,7852826868123621;0,9989728382244016;2,0775190186142214;Not saved
17;RFR;3350;335;2713;302;cab;2;0,998971930591218;10,5428334900474;0,660383186982816;1,2914958930839193;0,47764937462510204;0,9989692447801115;1,143998429584433;Not saved
