;Model;NoiseLevel;NoiseType;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
28;RFR;0,5;Inverted;200;1620;180;lai;1;-0,06624576051502595;6,974871592202952;2,531548275221939;8,532715464603424;2,5391339899535437;-0,06748549202677778;92,00765389167476;Not stored
29;GPR;0,5;Inverted;200;1620;180;lai;1;-0,027553751905018187;6,04849683649433;2,4545829215046577;8,228508138640354;2,420712102778927;-0,029427630097482727;86,97072848347074;Not stored
30;ANN;0,5;Inverted;200;1620;180;lai;1;-0,5496888793931136;9,073485848682736;2,94749800498216;12,396577907283767;2,785626642389564;-0,5508740589910359;105,11552329781628;Not stored
31;MTN;0,5;Inverted;200;1620;180;lai;1;-0,15646421380436415;8,248502495381253;2,5582579546638056;9,294108807792647;2,4181175649280036;-0,16273961727587705;85,22963756059343;Not stored
32;RFR;0,5;Combined;200;1620;180;cab;2;0,08085784632975623;69,61361814316913;30,383109541200373;1232,6674553745265;30,832311735148174;0,06512264276544955;66,06059206118462;Not stored
33;GPR;0,5;Combined;200;1620;180;cab;2;0,09121156339506287;73,65896835900335;30,85767867855956;1214,8182585108302;31,446499317766342;0,07865979742945539;68,93395761675973;Not stored
34;ANN;0,5;Combined;200;1620;180;cab;2;0,06713300052028459;93,49568829383526;30,028820517477243;1241,4865234985016;28,551703701996104;0,058434101533128;66,78577456390376;Not stored
35;MTN;0,5;Combined;200;1620;180;cab;2;0,0670107867208134;82,6036843409899;30,41887280288431;1234,7496480320751;31,76317713947089;0,06354347008553896;70,25094592355666;Not stored
36;RFR;0,5;Inverted;200;1620;180;cab;2;-0,26157671495096513;111,35673823085769;39,09848728606113;2246,1035644831095;35,122851455714084;-0,7034856848727888;66,09623168219068;Not stored
37;GPR;0,5;Inverted;200;1620;180;cab;2;-0,0432886694829564;77,61551061758297;31,76597539905614;1385,4461863232686;30,9272237127215;-0,05074751800521193;78,50260212979114;Not stored
38;ANN;0,5;Inverted;200;1620;180;cab;2;-1,1380391734178281;176,70761586894412;47,18002588540007;3548,4790504792445;38,93054585724313;-1,6912308769491005;89,43139945540065;Not stored
39;MTN;0,5;Inverted;200;1620;180;cab;2;-0,05616267362295302;77,73399447909762;32,54348429605834;1409,5147951232427;32,10066607373713;-0,06900158749420915;78,84734715244754;Not stored
40;RFR;0,5;Combined;200;1620;180;cw;2;-0,014057019965819872;0,00425111779444865;0,0018430183593240324;4,74507988889078e-06;0,0018885043361614728;-0,021573212906737194;40,5830071327148;Not stored
41;GPR;0,5;Combined;200;1620;180;cw;2;-0,01754459000332309;0,004614245684290955;0,0018468807252955439;4,7624530519908445e-06;0,0018140219172436871;-0,025313499363881498;40,57132162228349;Not stored
42;ANN;0,5;Combined;200;1620;180;cw;2;-0,05372235879040921;0,005550245030235695;0,0018980093742773107;4,99662837880517e-06;0,0018673493660209019;-0,07572935043464568;42,56643465633456;Not stored
43;MTN;0,5;Combined;200;1620;180;cw;2;-0,030135588361785537;0,004878370031829723;0,0018506918594011718;4,811796574351222e-06;0,0017820210016522087;-0,03593671790901953;40,56681587620555;Not stored
44;RFR;0,5;Inverted;200;1620;180;cw;2;-0,04896562164121021;0,004733608831152479;0,001883578933547299;4,8737225880145146e-06;0,0018712980738692063;-0,04926883416877437;40,02159444864636;Not stored
45;GPR;0,5;Inverted;200;1620;180;cw;2;-0,05238671698120623;0,0047377720360312564;0,0018843239567962245;4,926593243877334e-06;0,001785876305135496;-0,06065141297523846;40,89136067626845;Not stored
46;ANN;0,5;Inverted;200;1620;180;cw;2;-0,8700104978202496;0,008400798902073018;0,002425349712861455;8,849357188150296e-06;0,002060004638122141;-0,905187365975265;47,02938697138414;Not stored
47;MTN;0,5;Inverted;200;1620;180;cw;2;-0,06762312135002246;0,005147434429089819;0,0018783713998380058;4,975983519427245e-06;0,0019018663911497067;-0,07128469706345752;40,485227265078684;Not stored
