;Model;NoiseLevel;NoiseType;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
0;RFR;0,1;Combined;200;1620;180;cab;1;0,9139538294295374;37,778088251895745;7,687152587633184;107,32443239572021;5,622878583190801;0,9138041553271173;11,804125429003784;Not stored
1;GPR;0,1;Combined;200;1620;180;cab;1;0,8942950836255696;37,38496731396593;9,082077377036107;131,87887039930683;7,406156188425699;0,8940836641310094;20,018736682814044;Not stored
2;ANN;0,1;Combined;200;1620;180;cab;1;0,9278912614848999;36,76852576752202;7,470584782832888;92,25790542380247;5,938981980817401;0,9259045875366522;12,062544592372658;Not stored
3;MTN;0,1;Combined;200;1620;180;cab;1;0,9297100512095333;33,22475593109624;7,167562214512298;91,05850071659859;5,442551055565119;0,9268678696107737;11,463015473097238;Not stored
4;RFR;0,1;Inverted;200;1620;180;cab;1;0,7017088617529244;54,29668713912175;14,95284714646321;374,4597934647107;12,344015920924399;0,6992588036737566;26,68052989366122;Not stored
5;GPR;0,1;Inverted;200;1620;180;cab;1;0,7264423815801666;51,41639063920668;14,780485352012612;343,94613206780195;12,012125983145822;0,7237653466803959;27,365867382340525;Not stored
6;ANN;0,1;Inverted;200;1620;180;cab;1;0,7315651913400663;51,85189705025485;14,191724216024001;337,4307553631644;10,81233133070576;0,7289980638341897;23,975524723161314;Not stored
7;MTN;0,1;Inverted;200;1620;180;cab;1;0,7304647031070804;50,256408694761674;14,268982578526105;342,57756729070707;11,654387847561608;0,7248644868698013;24,469718905627854;Not stored
8;RFR;0,1;Combined;200;1620;180;cw;1;0,28931584284919853;0,0036097884785536933;0,0015709289026567949;3,4201335529172903e-06;0,001546823126946833;0,28716533287249557;32,11778780841178;Not stored
9;GPR;0,1;Combined;200;1620;180;cw;1;0,666073387763555;0,0035254763396179592;0,00100206301269402;1,602744879596426e-06;0,0008313540028650904;0,6659510235315482;20,25634164979625;Not stored
10;ANN;0,1;Combined;200;1620;180;cw;1;0,697694724868877;0,004032547785407164;0,0009368844817883347;1,4582452497974792e-06;0,0007649328489748506;0,6960680771243588;17,848434637093547;Not stored
