;Model;Epochs;ValidType;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;Training_time;ModelName
28;ANN_optimized;50;Training;lai;2;0,7485526091123285;4,437723747708366;1,1211055613130319;1,9610350615401533;0,9311724635898024;0,7485444651205935;27,906256423799004;2,8628103733062744;not stored
29;ANN_optimized;50;Validation;lai;2;0,6957712207348017;4,830359959318052;1,2261534546509285;2,528874964668585;0,9603629084166776;0,6957573325677543;28,842441797506304;2,8628103733062744;not stored
30;MTN_optimized;50;Training;lai;2;0,7950034689976564;3,5992928662081223;0,965397192197067;1,6252183755372767;0,7543232233347765;0,791604870340459;19,103700432408207;6,423700571060181;not stored
31;MTN_optimized;50;Validation;lai;2;0,7414857728538724;4,301984333707701;1,096265881643722;2,1700771825572773;0,8066976352240247;0,7389234027861069;21,4574751419165;6,423700571060181;not stored
32;ANN_optimized;50;Training;cab;3;0,9735911716125085;29,006042074585878;4,392107824018018;36,38646196660052;3,3657736615005227;0,9709447333581641;9,555537426507444;2,876861333847046;not stored
33;ANN_optimized;50;Validation;cab;3;0,9739248301899055;22,11790462163316;4,394532698644427;35,77309131589201;3,340712893551121;0,9722805842148181;9,098238811865663;2,876861333847046;not stored
34;MTN_optimized;50;Training;cab;3;0,9783705182844336;30,239070813717035;3,8299105223965295;27,098908262206923;3,0880242564719955;0,9783610177328095;6,916517346548757;6,5727503299713135;not stored
35;MTN_optimized;50;Validation;cab;3;0,9818370871812878;15,615197159310114;3,727273868997677;23,541888013930507;3,0543325532543477;0,9817581495414004;7,011281421929774;6,5727503299713135;not stored
36;ANN_optimized;50;Training;cw;3;0,7495218833503292;0,0035168392348300832;0,0008594278997739815;1,3075797779066425e-06;0,0006056281421910241;0,747823062096602;18,327459967709686;2,876861333847046;not stored
37;ANN_optimized;50;Validation;cw;3;0,7483606640361902;0,0034961578430307803;0,0008930565361550631;1,3349609014040725e-06;0,0007539054312511351;0,7483532053761035;19,283942436586187;2,876861333847046;not stored
38;MTN_optimized;50;Training;cw;3;0,7402540115462737;0,0036417207758760763;0,0009327091902888703;1,3758113039913668e-06;0,0008041431652546097;0,7346640812013268;19,127233617647192;6,5727503299713135;not stored
39;MTN_optimized;50;Validation;cw;3;0,7520205764224007;0,0034114082783287918;0,0009148739032376688;1,3157856581748486e-06;0,0008023450997063806;0,7519678344560208;19,33529105624291;6,5727503299713135;not stored
40;ANN_optimized;50;Training;cm;3;0,6542814216027015;0,004619944762236207;0,0010340919137073177;1,878487434957729e-06;0,0007762521549294016;0,6491687304302216;23,526459391000934;2,876861333847046;not stored
41;ANN_optimized;50;Validation;cm;3;0,6420915128873728;0,004599807262874945;0,00109687408072306;2,0831289536227915e-06;0,000917137308185048;0,6409933102599099;23,193541926183553;2,876861333847046;not stored
42;MTN_optimized;50;Training;cm;3;0,7059715267094813;0,004333547429209897;0,0009301747302518578;1,6206925538711746e-06;0,0006238749355863867;0,6973151825901325;21,390496192485887;6,5727503299713135;not stored
43;MTN_optimized;50;Validation;cm;3;0,7179757383374799;0,00435727782592903;0,0009627666361371487;1,6510068198172985e-06;0,0007338318131453303;0,7154652898035372;20,62117418739105;6,5727503299713135;not stored
44;ANN_optimized;50;Training;lai;3;0,7492438114727364;4,816971840188048;1,1841375635068432;2,1406008483828187;1,0146066179889015;0,7482636142106546;29,98539727286227;2,876861333847046;not stored
45;ANN_optimized;50;Validation;lai;3;0,6855389525684064;4,476571195472674;1,276931312875262;2,6307954375047315;1,0893342335239826;0,6834955335643036;30,375751243773543;2,876861333847046;not stored
46;MTN_optimized;50;Training;lai;3;0,845079403894014;3,5169020312280868;0,9507517159504348;1,419247626523558;0,7950614001500855;0,8330953347462875;20,887718016224536;6,5727503299713135;not stored
47;MTN_optimized;50;Validation;lai;3;0,8090083231244578;3,140804152401839;1,0506695460514168;1,6919244634701756;0,8871853048864897;0,7964487690962225;23,797314903357723;6,5727503299713135;not stored
48;ANN_optimized;50;Training;cab;4;0,97132085783257;31,046263164123815;4,325153015452292;40,702486359580476;2,985750621012473;0,9664673411666366;9,123655039548009;3,2482497692108154;not stored
49;ANN_optimized;50;Validation;cab;4;0,9738655799659699;32,021820026906596;4,454157968456511;41,558364102991774;3,2667245714150077;0,9677977627443383;8,186583683013342;3,2482497692108154;not stored
50;MTN_optimized;50;Training;cab;4;0,974768234769957;24,52556592665826;3,793589950954093;31,238578670436024;2,4179801913321057;0,9742641618563346;8,729944937470597;6,679247140884399;not stored
51;MTN_optimized;50;Validation;cab;4;0,982532871703744;18,24562196335077;3,4787963158446966;23,26604025366969;2,6292335765504617;0,9819718950824989;7,180105267335116;6,679247140884399;not stored
52;ANN_optimized;50;Training;cw;4;0,7354867463074157;0,003940117249548241;0,0009488471127287362;1,5503704124771576e-06;0,0007361474105838871;0,6945956366519899;17,313967254697715;3,2482497692108154;not stored
53;ANN_optimized;50;Validation;cw;4;0,7060169681758114;0,003911182656295389;0,0009661289026609446;1,6086229473303457e-06;0,0007131407908775589;0,6967665434782659;19,362610129774566;3,2482497692108154;not stored
54;MTN_optimized;50;Training;cw;4;0,7268392899644119;0,0037444340965862334;0,0009676463352246294;1,4808018029741756e-06;0,0008242931862711871;0,7082998177452792;18,25978114121618;6,679247140884399;not stored
55;MTN_optimized;50;Validation;cw;4;0,741439602568712;0,003448956410569564;0,0009550628652560126;1,3833291051296951e-06;0,0008019782447808467;0,7392355574985763;20,086775459571424;6,679247140884399;not stored
56;ANN_optimized;50;Training;cm;4;0,6041155086704773;0,004420770657755296;0,001115469598633454;2,0780954014343308e-06;0,0009085527439319189;0,5696055400045117;24,784532079192264;3,2482497692108154;not stored
57;ANN_optimized;50;Validation;cm;4;0,635753216252674;0,004498978555656775;0,001136197209020431;2,1315847308127962e-06;0,0008889422086933449;0,6326424358997251;24,339208232606023;3,2482497692108154;not stored
58;MTN_optimized;50;Training;cm;4;0,6653006646059414;0,00407119966069595;0,0009930479600169107;1,6651506042860275e-06;0,0007620918990385783;0,6551305610665472;21,385305624982244;6,679247140884399;not stored
59;MTN_optimized;50;Validation;cm;4;0,6975524370715775;0,004319103844918116;0,0010233810066303326;1,7555573934223417e-06;0,0008369860642859516;0,6974470316082882;21,13463865087931;6,679247140884399;not stored
60;ANN_optimized;50;Training;lai;4;0,7307240718450009;4,688576704729517;1,0848772514694964;2,1493181215023367;0,767888164904077;0,7307238974509368;22,354957485075435;3,2482497692108154;not stored
61;ANN_optimized;50;Validation;lai;4;0,7157476174746024;5,17085173101605;1,1290457244184053;2,3734985058547364;0,792238135361016;0,7144502885051376;21,7983980826147;3,2482497692108154;not stored
62;MTN_optimized;50;Training;lai;4;0,7911786599737705;3,819864143274213;0,9461710702462423;1,6677306332709343;0,5879646465251089;0,7910593129345698;20,741576633671453;6,679247140884399;not stored
63;MTN_optimized;50;Validation;lai;4;0,7807598578101844;3,9869710138930845;0,9814921327163276;1,8301981994191365;0,610572973340745;0,7798133992781473;20,362460456354842;6,679247140884399;not stored
64;ANN_optimized;50;Training;cab;5;0,9832447623063711;25,047779406603837;3,3028362206450574;21,516595530485002;2,4697576762304188;0,9831270514385502;6,94677870712401;2,9298110008239746;not stored
65;ANN_optimized;50;Validation;cab;5;0,983316988948952;23,366607624562846;3,2359336302482022;21,78957888724575;2,4856253287256465;0,9831159574210109;6,903727211270621;2,9298110008239746;not stored
66;MTN_optimized;50;Training;cab;5;0,5603925720129628;53,82317352728421;20,170960397431568;561,9183081275631;19,025785017629506;0,5593532120199871;44,59904267455227;6,61759352684021;not stored
67;MTN_optimized;50;Validation;cab;5;0,5447779740093774;52,60922951317673;21,365533476246593;597,7425744765287;20,996775853653986;0,5368285394150651;45,537529539921316;6,61759352684021;not stored
68;ANN_optimized;50;Training;cw;5;0,8754913202895485;0,003449478776087326;0,0006189578709457737;6,561725996957229e-07;0,000532529739014347;0,8726097865003953;12,345913304253246;2,9298110008239746;not stored
69;ANN_optimized;50;Validation;cw;5;0,8668170199631354;0,003037693647839407;0,0006545074481145735;7,410259799405515e-07;0,0005203990442365514;0,8603129032551134;13,588823678341932;2,9298110008239746;not stored
70;MTN_optimized;50;Training;cw;5;0,7189948139781233;0,0036957243648735334;0,0010136763699980739;1,5272901195892688e-06;0,000927103805993236;0,7034898828440339;20,091426161774688;6,61759352684021;not stored
71;MTN_optimized;50;Validation;cw;5;0,7045124245610244;0,0034604936346239006;0,001042644242128925;1,580268069696011e-06;0,0009157504343953668;0,7021115794723002;22,011047589462358;6,61759352684021;not stored
72;ANN_optimized;50;Training;cm;5;0,8068690331071793;0,003451459674891414;0,0008098259673144425;1,058479574943891e-06;0,0006879195302487181;0,8068682523953135;17,29243943187358;2,9298110008239746;not stored
