"";"Trait";"variable";"value";"type";"SampleNr"
"96";"Cab";"GSI";0,0391297073979125;"iSI";2000
"97";"Car";"GSI";0,0204862607145516;"iSI";2000
"98";"Cw";"GSI";0,0240209239108027;"iSI";2000
"99";"Cm";"GSI";0,0485412748629606;"iSI";2000
"100";"LAI";"GSI";0,0403221014550804;"iSI";2000
"101";"Cab";"B02";0,514567352946688;"tSI";2000
"102";"Car";"B02";0,848160275774044;"tSI";2000
"103";"Cw";"B02";0,0117721000550991;"tSI";2000
"104";"Cm";"B02";0,0133393668554946;"tSI";2000
"105";"LAI";"B02";0,0164249784921062;"tSI";2000
"106";"Cab";"B03";0,983747103685681;"tSI";2000
"107";"Car";"B03";0,00847589989904352;"tSI";2000
"108";"Cw";"B03";0,00222608291381954;"tSI";2000
"109";"Cm";"B03";0,0155369366959516;"tSI";2000
"110";"LAI";"B03";0,0140699133912383;"tSI";2000
"111";"Cab";"B04";0,976435838128404;"tSI";2000
"112";"Car";"B04";0,00133245487764;"tSI";2000
"113";"Cw";"B04";0,00133256325119913;"tSI";2000
"114";"Cm";"B04";0,00783287615308836;"tSI";2000
"115";"LAI";"B04";0,0107308164043128;"tSI";2000
"116";"Cab";"B05";0,977210822080871;"tSI";2000
"117";"Car";"B05";0,00270693270851241;"tSI";2000
"118";"Cw";"B05";0,00270110616010466;"tSI";2000
"119";"Cm";"B05";0,0306467841274779;"tSI";2000
"120";"LAI";"B05";0,0206501292392106;"tSI";2000
"121";"Cab";"B06";0,231353273703169;"tSI";2000
"122";"Car";"B06";0,0295767356106489;"tSI";2000
"123";"Cw";"B06";0,0294741633080625;"tSI";2000
"124";"Cm";"B06";0,595882763376483;"tSI";2000
"125";"LAI";"B06";0,264016335366382;"tSI";2000
"126";"Cab";"B07";0,0269450795568493;"tSI";2000
"127";"Car";"B07";0,0269495003450303;"tSI";2000
"128";"Cw";"B07";0,0269568937604026;"tSI";2000
"129";"Cm";"B07";0,749815570286357;"tSI";2000
"130";"LAI";"B07";0,304688016290925;"tSI";2000
"131";"Cab";"B8A";0,0256131257302867;"tSI";2000
"132";"Car";"B8A";0,0256131257302867;"tSI";2000
"133";"Cw";"B8A";0,0257993672416791;"tSI";2000
"134";"Cm";"B8A";0,75870498571144;"tSI";2000
"135";"LAI";"B8A";0,294127845448591;"tSI";2000
"136";"Cab";"B11";0,00388058607341391;"tSI";2000
"137";"Car";"B11";0,00388058607341391;"tSI";2000
"138";"Cw";"B11";0,619396453720529;"tSI";2000
"139";"Cm";"B11";0,429087784266875;"tSI";2000
"140";"LAI";"B11";0,013089068405515;"tSI";2000
"141";"Cab";"B12";0,0351591339499114;"tSI";2000
"142";"Car";"B12";0,0351591339499114;"tSI";2000
"143";"Cw";"B12";0,539516665005453;"tSI";2000
"144";"Cm";"B12";0,553070844153573;"tSI";2000
"145";"LAI";"B12";0,0993866572202914;"tSI";2000
"146";"Cab";"GSI";0,286620718433348;"tSI";2000
"147";"Car";"GSI";0,0209606863523015;"tSI";2000
"148";"Cw";"GSI";0,0601771341336055;"tSI";2000
"149";"Cm";"GSI";0,532831438737753;"tSI";2000
"150";"LAI";"GSI";0,2079621355924;"tSI";2000
